Setpoint_g,Scenario_A,Scenario_B,A_MAE_pct,A_MeanOvershoot_pct,A_MeanDuration_s,A_SD_FinalError_g,B_MAE_pct,B_MeanOvershoot_pct,B_MeanDuration_s,B_SD_FinalError_g,A_dominates_B,B_dominates_A,Relation,Tradeoff_note
15,Fixed PID,GS PID,6.049,5.138,20.942,1.490215868031653,1.876,1.228,15.441999999999998,0.41085818045214145,False,True,GS PID dominates Fixed PID,"GS PID lebih rendah pada MAE%, mean overshoot, durasi, SD FinalError_g."
15,Fixed PID,Manual Cepat,6.049,5.138,20.942,1.490215868031653,22.314000000000004,22.502000000000002,6.338,3.287969484854343,False,False,trade-off,"Fixed PID lebih rendah pada MAE%, mean overshoot, SD FinalError_g; Manual Cepat lebih rendah pada durasi. Tidak terdapat dominasi empat dimensi."
15,Fixed PID,Manual Presisi,6.049,5.138,20.942,1.490215868031653,8.31,7.422,33.898,1.9401935756803008,True,False,Fixed PID dominates Manual Presisi,"Fixed PID lebih rendah pada MAE%, mean overshoot, durasi, SD FinalError_g."
15,GS PID,Manual Cepat,1.876,1.228,15.441999999999998,0.41085818045214145,22.314000000000004,22.502000000000002,6.338,3.287969484854343,False,False,trade-off,"GS PID lebih rendah pada MAE%, mean overshoot, SD FinalError_g; Manual Cepat lebih rendah pada durasi. Tidak terdapat dominasi empat dimensi."
15,GS PID,Manual Presisi,1.876,1.228,15.441999999999998,0.41085818045214145,8.31,7.422,33.898,1.9401935756803008,True,False,GS PID dominates Manual Presisi,"GS PID lebih rendah pada MAE%, mean overshoot, durasi, SD FinalError_g."
15,Manual Cepat,Manual Presisi,22.314000000000004,22.502000000000002,6.338,3.287969484854343,8.31,7.422,33.898,1.9401935756803008,False,False,trade-off,"Manual Cepat lebih rendah pada durasi; Manual Presisi lebih rendah pada MAE%, mean overshoot, SD FinalError_g. Tidak terdapat dominasi empat dimensi."
20,Fixed PID,GS PID,7.45,6.886,28.817,2.8293432689112383,3.7260000000000004,3.0730000000000004,18.387,0.8345883882356486,False,True,GS PID dominates Fixed PID,"GS PID lebih rendah pada MAE%, mean overshoot, durasi, SD FinalError_g."
20,Fixed PID,Manual Cepat,7.45,6.886,28.817,2.8293432689112383,9.247,9.154,9.825000000000001,1.2990834375734985,False,False,trade-off,"Fixed PID lebih rendah pada MAE%, mean overshoot; Manual Cepat lebih rendah pada durasi, SD FinalError_g. Tidak terdapat dominasi empat dimensi."
20,Fixed PID,Manual Presisi,7.45,6.886,28.817,2.8293432689112383,7.380000000000001,6.868,43.88700000000001,2.0576361842334197,False,False,trade-off,"Fixed PID lebih rendah pada durasi; Manual Presisi lebih rendah pada MAE%, mean overshoot, SD FinalError_g. Tidak terdapat dominasi empat dimensi."
20,GS PID,Manual Cepat,3.7260000000000004,3.0730000000000004,18.387,0.8345883882356486,9.247,9.154,9.825000000000001,1.2990834375734985,False,False,trade-off,"GS PID lebih rendah pada MAE%, mean overshoot, SD FinalError_g; Manual Cepat lebih rendah pada durasi. Tidak terdapat dominasi empat dimensi."
