No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes
1,Manual Cepat,Manual Cepat,15.0,1,ManualCepat_SP15_trial01.txt,15.33,0.33,2.19,0.33,2.19,0.33,2.19,3.06,2.8,2.324,2.8,0,AKURAT,TRUE,TARGET,0.4,
2,Manual Cepat,Manual Cepat,15.0,2,ManualCepat_SP15_trial02.txt,15.91,0.91,6.08,0.91,6.08,0.91,6.08,5.12,4.607,4.132,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
3,Manual Cepat,Manual Cepat,15.0,3,ManualCepat_SP15_trial03.txt,15.35,0.35,2.36,0.35,2.36,0.35,2.36,4.87,3.316,3.099,4.607,0,AKURAT,TRUE,TARGET,0.4,
4,Manual Cepat,Manual Cepat,15.0,4,ManualCepat_SP15_trial04.txt,20.48,5.48,36.52,5.48,36.52,5.48,36.52,5.12,4.865,4.389,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
5,Manual Cepat,Manual Cepat,15.0,5,ManualCepat_SP15_trial05.txt,22.17,7.17,47.83,7.17,47.83,7.17,47.83,17.26,17.0,16.525,NA,2,OVERSHOOT,TRUE,TARGET,0.4,
6,Manual Cepat,Manual Cepat,15.0,6,ManualCepat_SP15_trial06.txt,16.1,1.1,7.33,1.1,7.33,1.1,7.33,1.25,0.992,0.517,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
7,Manual Cepat,Manual Cepat,15.0,7,ManualCepat_SP15_trial07.txt,23.61,8.61,57.4,8.61,57.4,8.61,57.4,9.0,6.931,6.455,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
8,Manual Cepat,Manual Cepat,15.0,8,ManualCepat_SP15_trial08.txt,14.92,-0.08,-0.52,0.08,0.52,0.36,2.4,3.06,2.8,2.325,2.8,0,AKURAT,TRUE,TARGET,0.4,
9,Manual Cepat,Manual Cepat,15.0,9,ManualCepat_SP15_trial09.txt,18.01,3.01,20.05,3.01,20.05,3.01,20.05,3.06,2.8,2.324,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
10,Manual Cepat,Manual Cepat,15.0,10,ManualCepat_SP15_trial10.txt,21.43,6.43,42.86,6.43,42.86,6.43,42.86,11.58,11.321,10.846,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
11,Manual Cepat,Manual Cepat,20.0,1,ManualCepat_SP20_trial01.txt,22.92,2.92,14.6,2.92,14.6,2.92,14.6,11.06,8.996,8.521,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
