======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 20.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 19.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 8
Setpoint_g: 20.00
EarlyStop_g: 0.40
StopTarget_g: 19.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.25,19.75,98.7,55.6,30,Z1,1.975,197.488,0
DATA,218,0.10,19.90,99.5,50.4,29,Z1,3.965,1.535,0
DATA,476,1.21,18.79,94.0,47.5,29,Z1,5.844,-11.088,0
DATA,734,3.43,16.57,82.9,41.9,28,Z1,7.502,-22.224,0
DATA,992,3.95,16.05,80.2,41.3,28,Z1,9.106,-5.228,0
DATA,1250,4.27,15.73,78.7,40.8,27,Z1,10.680,-3.148,0
DATA,1509,4.31,15.69,78.4,41.0,28,Z1,12.249,-0.444,0
DATA,1767,4.28,15.72,78.6,41.4,28,Z1,13.821,0.292,0
DATA,2025,4.29,15.71,78.6,41.6,28,Z1,15.392,-0.044,0
DATA,2283,4.34,15.66,78.3,41.7,28,Z1,16.958,-0.548,0
DATA,2541,5.95,14.05,70.2,37.4,27,Z1,18.363,-16.108,0
DATA,2800,6.17,13.83,69.1,37.5,27,Z1,19.746,-2.194,0
DATA,3058,6.14,13.86,69.3,37.8,27,Z1,21.131,0.263,0
DATA,3316,6.13,13.87,69.4,38.1,27,Z1,22.519,0.185,0
DATA,3574,6.11,13.89,69.4,38.3,27,Z1,23.907,0.126,0
DATA,3832,6.16,13.84,69.2,38.4,27,Z1,25.291,-0.488,0
DATA,4091,6.19,13.81,69.0,38.5,27,Z1,26.672,-0.281,0
DATA,4349,6.23,13.77,68.9,38.6,27,Z1,28.049,-0.388,0
DATA,4607,6.25,13.75,68.8,38.8,27,Z1,29.424,-0.174,0
DATA,4865,6.64,13.36,66.8,37.8,27,Z1,30.000,-3.918,0
DATA,5123,6.86,13.14,65.7,37.3,27,Z1,30.000,-2.179,0
DATA,5382,6.41,13.59,67.9,38.6,27,Z1,30.000,4.443,0
DATA,5640,6.32,13.68,68.4,38.7,27,Z1,30.000,0.873,0
DATA,5898,6.36,13.64,68.2,38.6,27,Z1,30.000,-0.333,0
BRIDGING #1 @6.52g hammer
DATA,6156,6.52,13.48,67.4,38.2,27,Z1,30.000,-1.609,1
DATA,6415,6.42,13.58,67.9,38.5,27,Z1,30.000,0.943,1
DATA,6673,6.30,13.70,68.5,38.8,27,Z1,30.000,1.228,1
DATA,6931,6.47,13.53,67.7,38.3,27,Z1,30.000,-1.665,1
DATA,7189,6.95,13.05,65.2,37.0,27,Z1,30.000,-4.824,1
DATA,7447,9.18,10.82,54.1,30.9,25,Z1,30.000,-22.246,1
DATA,7705,9.31,10.69,53.5,31.2,26,Z1,30.000,-1.310,1
DATA,7964,9.26,10.74,53.7,31.4,26,Z1,30.000,0.485,1
DATA,8222,9.30,10.70,53.5,31.2,26,Z1,30.000,-0.403,1
DATA,8480,9.31,10.69,53.4,31.2,26,Z1,30.000,-0.137,1
DATA,8738,9.31,10.69,53.4,31.2,26,Z1,30.000,0.007,1
DATA,8996,9.55,10.45,52.3,30.6,25,Z1,30.000,-2.353,1
DATA,9255,9.77,10.23,51.1,30.0,25,Z1,30.000,-2.260,1
DATA,9513,9.78,10.22,51.1,30.0,25,Z1,30.000,-0.082,1
DATA,9771,9.84,10.16,50.8,29.9,25,Z1,30.000,-0.596,1
DATA,10029,9.86,10.14,50.7,29.8,25,Z1,30.000,-0.189,1
DATA,10288,9.82,10.18,50.9,30.0,25,Z1,30.000,0.392,1
DATA,10546,9.85,10.15,50.8,29.9,25,Z1,30.000,-0.274,1
DATA,10804,10.29,9.71,48.5,28.6,25,Z2,30.000,-4.458,1
DATA,11062,10.74,9.26,46.3,27.5,25,Z2,30.000,-4.421,1
DATA,11321,10.65,9.35,46.7,27.9,25,Z2,30.000,0.814,1
DATA,11579,10.68,9.32,46.6,27.8,25,Z2,30.000,-0.277,1
DATA,11837,10.65,9.35,46.8,27.9,25,Z2,30.000,0.344,1
DATA,12095,10.66,9.34,46.7,27.9,25,Z2,30.000,-0.089,1
DATA,12353,10.69,9.31,46.6,27.8,25,Z2,30.000,-0.340,1
DATA,12612,10.67,9.33,46.6,27.8,25,Z2,30.000,0.189,1
DATA,12870,11.23,8.77,43.9,26.3,25,Z2,30.000,-5.549,1
DATA,13128,11.86,8.14,40.7,24.6,24,Z2,30.000,-6.378,1
DATA,13386,11.69,8.31,41.6,25.3,24,Z2,30.000,1.769,1
DATA,13644,11.66,8.34,41.7,25.4,24,Z2,30.000,0.266,1
DATA,13903,11.58,8.42,42.1,25.6,24,Z2,30.000,0.851,1
DATA,14161,11.72,8.28,41.4,25.1,24,Z2,30.000,-1.491,1
DATA,14419,11.94,8.06,40.3,24.6,24,Z2,30.000,-2.157,1
DATA,14678,11.81,8.19,40.9,25.0,24,Z2,30.000,1.261,1
DATA,14936,11.77,8.23,41.2,25.1,24,Z2,30.000,0.466,1
DATA,15194,12.15,7.85,39.2,24.0,24,Z2,30.000,-3.866,1
DATA,15452,12.09,7.91,39.5,24.3,24,Z2,30.000,0.596,1
DATA,15710,12.12,7.88,39.4,24.2,24,Z2,30.000,-0.292,1
DATA,15969,12.06,7.94,39.7,24.4,24,Z2,30.000,0.674,1
DATA,16227,11.94,8.06,40.3,24.7,24,Z2,30.000,1.139,1
DATA,16485,12.10,7.90,39.5,24.2,24,Z2,30.000,-1.539,1
DATA,16743,12.09,7.91,39.5,24.3,24,Z2,30.000,0.055,1
DATA,17002,12.10,7.90,39.5,24.2,24,Z2,30.000,-0.096,1
DATA,17260,12.14,7.86,39.3,24.2,24,Z2,30.000,-0.351,1
DATA,17518,12.18,7.82,39.1,24.0,24,Z2,30.000,-0.426,1
DATA,17776,12.21,7.79,39.0,24.0,24,Z2,30.000,-0.314,1
DATA,18034,12.24,7.76,38.8,23.9,24,Z2,30.000,-0.307,1
DATA,18293,12.23,7.77,38.9,23.9,24,Z2,30.000,0.122,1
BRIDGING #2 @12.19g hammer
DATA,18551,12.19,7.81,39.1,24.0,24,Z2,30.000,0.385,2
