======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 30.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 29.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 1
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.03,29.97,99.9,84.4,36,Z1,2.997,299.715,0
DATA,218,0.05,29.95,99.8,75.8,34,Z1,5.993,-0.178,0
DATA,476,1.99,28.01,93.4,70.8,33,Z1,8.793,-19.456,0
DATA,734,3.44,26.56,88.5,67.7,33,Z1,11.449,-14.528,0
DATA,992,3.24,26.76,89.2,69.1,33,Z1,14.125,2.038,0
DATA,1250,3.26,26.74,89.1,69.4,33,Z1,16.799,-0.189,0
DATA,1509,3.25,26.75,89.2,69.8,33,Z1,19.474,0.078,0
DATA,1767,3.28,26.72,89.1,70.1,33,Z1,22.146,-0.237,0
DATA,2025,3.22,26.78,89.3,70.7,33,Z1,24.824,0.566,0
DATA,2283,3.31,26.69,89.0,70.8,33,Z1,27.493,-0.914,0
DATA,2541,5.54,24.46,81.5,65.0,32,Z1,29.939,-22.279,0
DATA,2800,6.78,23.22,77.4,62.2,32,Z1,30.000,-12.375,0
DATA,3058,6.65,23.35,77.8,62.9,32,Z1,30.000,1.250,0
DATA,3316,6.62,23.38,77.9,63.0,32,Z1,30.000,0.311,0
DATA,3574,6.61,23.39,78.0,63.0,32,Z1,30.000,0.104,0
DATA,3833,6.56,23.44,78.1,63.1,32,Z1,30.000,0.492,0
DATA,4091,6.61,23.39,78.0,63.0,32,Z1,30.000,-0.452,0
DATA,4349,6.62,23.38,77.9,63.0,32,Z1,30.000,-0.114,0
DATA,4607,8.49,21.51,71.7,57.7,31,Z1,30.000,-18.731,0
DATA,4865,11.45,18.55,61.8,50.0,29,Z1,30.000,-29.619,0
DATA,5124,11.51,18.49,61.6,50.7,29,Z1,30.000,-0.566,0
DATA,5382,11.92,18.08,60.3,49.6,29,Z1,30.000,-4.092,0
DATA,5640,11.36,18.64,62.1,51.3,30,Z1,30.000,5.527,0
DATA,5898,11.26,18.74,62.5,51.4,30,Z1,30.000,1.069,0
DATA,6157,11.36,18.64,62.1,51.1,30,Z1,30.000,-1.006,0
DATA,6415,11.23,18.77,62.6,51.5,30,Z1,30.000,1.261,0
DATA,6673,13.43,16.57,55.2,45.3,28,Z1,30.000,-21.927,0
DATA,6931,17.19,12.81,42.7,35.4,26,Z2,30.000,-37.629,0
DATA,7189,17.32,12.68,42.3,36.2,27,Z2,30.000,-1.343,0
DATA,7448,17.19,12.81,42.7,36.6,27,Z2,30.000,1.280,0
DATA,7706,17.25,12.75,42.5,36.4,27,Z2,30.000,-0.525,0
DATA,7964,17.26,12.74,42.5,36.3,27,Z2,30.000,-0.159,0
DATA,8222,17.29,12.71,42.4,36.3,27,Z2,30.000,-0.300,0
DATA,8480,17.31,12.69,42.3,36.2,27,Z2,30.000,-0.166,0
DATA,8739,17.89,12.11,40.4,34.6,26,Z2,30.000,-5.846,0
DATA,8997,18.36,11.64,38.8,33.4,26,Z2,30.000,-4.706,0
DATA,9255,18.28,11.72,39.1,33.8,26,Z2,30.000,0.796,0
DATA,9513,18.27,11.73,39.1,33.8,26,Z2,30.000,0.185,0
DATA,9772,18.28,11.72,39.1,33.8,26,Z2,30.000,-0.093,0
DATA,10030,18.27,11.73,39.1,33.8,26,Z2,30.000,0.048,0
DATA,10288,18.29,11.71,39.0,33.8,26,Z2,30.000,-0.170,0
DATA,10546,18.27,11.73,39.1,33.8,26,Z2,30.000,0.148,0
DATA,10804,18.30,11.70,39.0,33.7,26,Z2,30.000,-0.244,0
DATA,11063,18.32,11.68,38.9,33.7,26,Z2,30.000,-0.240,0
DATA,11321,18.38,11.62,38.7,33.5,26,Z2,30.000,-0.548,0
DATA,11579,18.32,11.68,38.9,33.7,26,Z2,30.000,0.566,0
DATA,11837,18.31,11.69,39.0,33.7,26,Z2,30.000,0.129,0
DATA,12096,18.32,11.68,38.9,33.7,26,Z2,30.000,-0.122,0
BRIDGING #1 @18.35g hammer
DATA,12354,18.35,11.65,38.8,33.6,26,Z2,30.000,-0.348,1
DATA,12612,18.35,11.65,38.8,33.6,26,Z2,30.000,0.059,1
DATA,12870,18.34,11.66,38.9,33.7,26,Z2,30.000,0.089,1
DATA,13128,18.40,11.60,38.7,33.5,26,Z2,30.000,-0.592,1
DATA,13386,18.64,11.36,37.9,32.8,26,Z2,30.000,-2.408,1
DATA,13645,22.63,7.37,24.6,21.7,24,Z2,30.000,-39.871,1
DATA,13903,24.85,5.15,17.2,16.7,23,Z2,30.000,-22.268,1
DATA,14161,26.95,3.05,10.2,11.5,22,Z3,30.000,-20.966,1
DATA,14419,27.60,2.40,8.0,10.3,21,Z3,30.000,-6.471,1
DATA,14677,27.72,2.28,7.6,10.2,21,Z3,30.000,-1.254,1
DATA,14936,27.59,2.41,8.0,10.6,21,Z3,30.000,1.321,1
DATA,15194,27.77,2.23,7.4,10.0,21,Z3,30.000,-1.809,1
DATA,15452,27.65,2.35,7.8,10.4,21,Z3,30.000,1.202,1
DATA,15710,27.72,2.28,7.6,10.2,21,Z3,30.000,-0.721,1
DATA,15969,27.42,2.58,8.6,11.0,22,Z3,30.000,2.978,1
DATA,16227,27.55,2.45,8.2,10.6,21,Z3,30.000,-1.276,1
DATA,16485,27.86,2.14,7.1,9.7,21,Z3,30.000,-3.108,1
DATA,16743,27.87,2.13,7.1,9.8,21,Z3,30.000,-0.085,1
DATA,17001,28.00,2.00,6.7,9.5,21,Z3,30.000,-1.273,1
DATA,17260,28.04,1.96,6.5,9.4,21,Z3,30.000,-0.448,1
DATA,17518,28.09,1.91,6.4,9.3,21,Z3,30.000,-0.447,1
DATA,17776,28.05,1.95,6.5,9.4,21,Z3,30.000,0.411,1
DATA,18034,28.04,1.96,6.5,9.4,21,Z3,30.000,0.107,1
DATA,18292,28.02,1.98,6.6,9.5,21,Z3,30.000,0.189,1
DATA,18551,28.05,1.95,6.5,9.4,21,Z3,30.000,-0.333,1
DATA,18809,28.06,1.94,6.5,9.3,21,Z3,30.000,-0.115,1
DATA,19067,28.05,1.95,6.5,9.4,21,Z3,30.000,0.159,1
DATA,19325,28.10,1.90,6.3,9.2,21,Z3,30.000,-0.581,1
DATA,19583,28.16,1.84,6.1,9.1,21,Z3,30.000,-0.547,1
DATA,19842,28.11,1.89,6.3,9.2,21,Z3,30.000,0.492,1
DATA,20100,28.10,1.90,6.3,9.3,21,Z3,30.000,0.093,1
DATA,20358,28.12,1.88,6.3,9.2,21,Z3,30.000,-0.226,1
DATA,20616,28.14,1.86,6.2,9.1,21,Z3,30.000,-0.200,1
DATA,20875,28.06,1.94,6.5,9.4,21,Z3,30.000,0.844,1
DATA,21133,28.15,1.85,6.2,9.1,21,Z3,30.000,-0.858,1
DATA,21391,28.24,1.76,5.9,8.9,21,Z3,30.000,-0.914,1
DATA,21649,28.14,1.86,6.2,9.2,21,Z3,30.000,0.947,1
DATA,21907,28.39,1.61,5.4,8.4,21,Z3,30.000,-2.523,1
DATA,22166,28.28,1.72,5.7,8.8,21,Z3,30.000,1.139,1
DATA,22424,28.10,1.90,6.3,9.3,21,Z3,30.000,1.754,1
DATA,22682,28.04,1.96,6.5,9.4,21,Z3,30.000,0.636,1
DATA,22940,28.22,1.78,5.9,8.9,21,Z3,30.000,-1.787,1
DATA,23199,28.14,1.86,6.2,9.2,21,Z3,30.000,0.810,1
DATA,23457,28.08,1.92,6.4,9.3,21,Z3,30.000,0.625,1
DATA,23715,28.02,1.98,6.6,9.5,21,Z3,30.000,0.562,1
