======== PARAMETER AKTIF ========
Setpoint    : 15.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 14.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 7
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
>> GANTI ZONA: 0 -> 1 @0.08g
DATA,100,0.08,14.92,99.5,70.9,33,Z1,1.492,149.241,0.76,0
DATA,218,0.07,14.93,99.6,33.9,26,Z1,2.986,0.104,0.00,0
DATA,476,1.33,13.67,91.1,32.4,26,Z1,4.352,-12.686,12.69,0
DATA,734,2.78,12.22,81.5,33.4,26,Z1,5.575,-14.432,14.43,0
DATA,993,2.92,12.08,80.6,40.5,27,Z1,6.783,-1.391,1.39,0
DATA,1251,2.88,12.12,80.8,44.8,28,Z1,7.995,0.348,0.00,0
DATA,1509,2.83,12.17,81.1,48.7,29,Z1,9.212,0.474,0.00,0
DATA,1767,2.81,12.19,81.2,52.4,30,Z1,10.430,0.211,0.00,0
DATA,2025,2.88,12.12,80.8,55.8,30,Z1,11.642,-0.655,0.65,0
DATA,2284,3.12,11.88,79.2,58.5,31,Z1,12.830,-2.446,2.45,0
DATA,2542,4.82,10.18,67.9,54.8,30,Z1,13.848,-16.992,16.99,0
DATA,2800,5.38,9.62,64.1,60.0,31,Z1,14.809,-5.605,5.60,0
DATA,3058,5.42,9.58,63.9,62.0,32,Z1,15.000,-0.381,0.38,0
DATA,3317,5.83,9.17,61.1,60.3,31,Z1,15.000,-4.066,4.07,0
DATA,3575,5.68,9.32,62.2,62.1,32,Z1,15.000,1.506,0.00,0
