======== PARAMETER AKTIF ========
Setpoint    : 25.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 24.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 4
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
>> GANTI ZONA: 0 -> 1 @0.04g
DATA,100,0.04,24.96,99.8,100.0,40,Z1,2.496,249.615,0.38,0
DATA,218,0.00,25.00,100.0,56.8,31,Z1,4.996,0.340,0.00,0
DATA,476,1.42,23.58,94.3,57.7,31,Z1,7.353,-14.180,14.18,0
DATA,734,2.78,22.22,88.9,62.4,32,Z1,9.575,-13.578,13.58,0
DATA,993,2.57,22.43,89.7,74.1,34,Z1,11.818,2.072,0.00,0
DATA,1251,2.58,22.42,89.7,80.4,35,Z1,14.060,-0.118,0.12,0
DATA,1509,2.61,22.39,89.6,83.2,36,Z1,15.000,-0.263,0.26,0
DATA,1767,3.00,22.00,88.0,81.6,36,Z1,15.000,-3.840,3.84,0
DATA,2026,3.05,21.95,87.8,82.4,36,Z1,15.000,-0.566,0.57,0
DATA,2284,3.03,21.97,87.9,82.6,36,Z1,15.000,0.240,0.00,0
DATA,2542,5.86,19.14,76.5,70.0,33,Z1,15.000,-28.357,28.36,0
DATA,2800,9.65,15.35,61.4,61.1,32,Z1,15.000,-37.895,37.90,0
DATA,3059,11.55,13.45,53.8,63.2,32,Z1,15.000,-18.997,19.00,0
>> GANTI ZONA: 1 -> 2 @12.87g
DATA,3317,12.87,12.13,48.5,21.4,24,Z2,1.213,-13.134,13.13,0
