RESET. Servo tutup. Tare selesai. Siap.
======== PARAMETER AKTIF ========
Setpoint    : 25.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 24.60g
  HAMMER_TH : error > 3.0g
=================================
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 7
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
>> GANTI ZONA: 0 -> 1 @0.08g
DATA,100,0.08,24.92,99.7,100.0,40,Z1,2.492,249.179,0.82,0
DATA,218,0.21,24.79,99.2,55.9,30,Z1,4.971,-1.236,1.24,0
DATA,476,1.78,23.22,92.9,56.5,31,Z1,7.294,-15.694,15.69,0
DATA,734,2.99,22.01,88.1,62.3,32,Z1,9.495,-12.120,12.12,0
DATA,992,2.74,22.26,89.0,73.6,34,Z1,11.721,2.449,0.00,0
DATA,1251,2.67,22.33,89.3,80.1,35,Z1,13.953,0.692,0.00,0
DATA,1509,2.66,22.34,89.3,83.2,36,Z1,15.000,0.100,0.00,0
DATA,1767,4.02,20.98,83.9,77.1,35,Z1,15.000,-13.603,13.60,0
DATA,2025,5.52,19.48,77.9,74.3,34,Z1,15.000,-14.935,14.94,0
DATA,2284,6.24,18.76,75.0,75.2,34,Z1,15.000,-7.255,7.26,0
DATA,2542,8.31,16.69,66.8,68.1,33,Z1,15.000,-20.629,20.63,0
DATA,2800,9.04,15.96,63.8,70.6,33,Z1,15.000,-7.384,7.38,0
DATA,3058,8.99,16.01,64.0,72.9,34,Z1,15.000,0.514,0.00,0
DATA,3317,9.01,15.99,64.0,72.6,34,Z1,15.000,-0.192,0.19,0
DATA,3575,8.98,16.02,64.1,72.8,34,Z1,15.000,0.289,0.00,0
