======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 15.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 14.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 3
Setpoint_g 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.01,14.99,99.9%,OPEN_SLOW,20,Z1
DATA,217,0.11,14.89,99.3%,OPEN_SLOW,20,Z1
DATA,476,0.15,14.85,99.0%,OPEN_SLOW,20,Z1
DATA,734,0.13,14.87,99.1%,OPEN_SLOW,20,Z1
DATA,992,0.16,14.84,99.0%,OPEN_SLOW,20,Z1
DATA,1250,0.12,14.88,99.2%,OPEN_SLOW,20,Z1
DATA,1509,0.09,14.91,99.4%,OPEN_SLOW,20,Z1
DATA,1767,0.07,14.93,99.6%,OPEN_SLOW,20,Z1
DATA,2025,0.09,14.91,99.4%,OPEN_SLOW,20,Z1
DATA,2284,0.16,14.84,98.9%,OPEN_SLOW,20,Z1
DATA,2542,1.59,13.41,89.4%,OPEN_SLOW,20,Z1
DATA,2800,1.76,13.24,88.3%,OPEN_SLOW,20,Z1
DATA,3058,1.74,13.26,88.4%,OPEN_SLOW,20,Z1
DATA,3317,1.76,13.24,88.3%,OPEN_SLOW,20,Z1
DATA,3575,1.74,13.26,88.4%,OPEN_SLOW,20,Z1
DATA,3833,1.72,13.28,88.5%,OPEN_SLOW,20,Z1
                                                                SLOW,20,Z1
DATA,4350,1.74,13.26,88.4%,OPEN_SLOW,20,Z1
DATA,4608,2.35,12.65,84.3%,OPEN_SLOW,20,Z1
DATA,4867,2.68,12.32,82.1%,OPEN_SLOW,20,Z1
DATA,5125,2.62,12.38,82.5%,OPEN_SLOW,20,Z1
DATA,5383,2.68,12.32,82.2%,OPEN_SLOW,20,Z1
DATA,5641,2.67,12.33,82.2%,OPEN_SLOW,20,Z1
DATA,5900,2.67,12.33,82.2%,OPEN_SLOW,20,Z1
DATA,6158,2.69,12.31,82.1%,OPEN_SLOW,20,Z1
DATA,6416,2.66,12.34,82.2%,OPEN_SLOW,20,Z1
DATA,6675,3.68,11.32,75.5%,OPEN_SLOW,20,Z1
DATA,6933,3.97,11.03,73.6%,OPEN_SLOW,20,Z1
DATA,7191,3.96,11.04,73.6%,OPEN_SLOW,20,Z1
DATA,7450,3.93,11.07,73.8%,OPEN_SLOW,20,Z1
DATA,7708,3.95,11.05,73.6%,OPEN_SLOW,20,Z1
DATA,7966,3.94,11.06,73.7%,OPEN_SLOW,20,Z1
DATA,8224,3.98,11.02,73.4%,OPEN_SLOW,20,Z1
DATA,8483,3.92,11.08,73.9%,OPEN_SLOW,20,Z1
DATA,8741,4.37,10.63,70.8%,OPEN_SLOW,20,Z1
DATA,8999,4.48,10.52,70.2%,OPEN_SLOW,20,Z1
DATA,9258,4.48,10.52,70.1%,OPEN_SLOW,20,Z1
DATA,9516,4.44,10.56,70.4%,OPEN_SLOW,20,Z1
DATA,9774,4.49,10.51,70.1%,OPEN_SLOW,20,Z1
DATA,10033,4.43,10.57,70.5%,OPEN_SLOW,20,Z1
DATA,10291,4.46,10.54,70.3%,OPEN_SLOW,20,Z1
DATA,10549,4.49,10.51,70.0%,OPEN_SLOW,20,Z1
DATA,10807,4.47,10.53,70.2%,OPEN_SLOW,20,Z1
DATA,11066,4.47,10.53,70.2%,OPEN_SLOW,20,Z1
DATA,11324,4.48,10.52,70.1%,OPEN_SLOW,20,Z1
DATA,11582,4.45,10.55,70.3%,OPEN_SLOW,20,Z1
DATA,11841,4.47,10.53,70.2%,OPEN_SLOW,20,Z1
DATA,12099,4.42,10.58,70.5%,OPEN_SLOW,20,Z1
BRIDGING #1 @4.45g hammer
DATA,12357,4.45,10.55,70.3%,OPEN_SLOW,20,Z1
DATA,12616,4.54,10.46,69.7%,OPEN_SLOW,20,Z1
DATA,12874,4.68,10.32,68.8%,OPEN_SLOW,20,Z1
DATA,13132,4.58,10.42,69.5%,OPEN_SLOW,20,Z1
DATA,13390,5.88,9.12,60.8%,OPEN_SLOW,20,Z1
DATA,13648,6.83,8.17,54.5%,OPEN_SLOW,20,Z1
DATA,13907,6.64,8.36,55.8%,OPEN_SLOW,20,Z1
DATA,14165,6.60,8.40,56.0%,OPEN_SLOW,20,Z1
DATA,14423,6.61,8.39,55.9%,OPEN_SLOW,20,Z1
DATA,14682,6.74,8.26,55.1%,OPEN_SLOW,20,Z1
DATA,14940,6.86,8.14,54.3%,OPEN_SLOW,20,Z1
DATA,15198,7.55,7.45,49.7%,OPEN_SLOW,20,Z2
DATA,15456,8.11,6.89,46.0%,OPEN_SLOW,20,Z2
DATA,15715,8.07,6.93,46.2%,OPEN_SLOW,20,Z2
DATA,15973,8.10,6.90,46.0%,OPEN_SLOW,20,Z2
DATA,16231,8.23,6.77,45.1%,OPEN_SLOW,20,Z2
DATA,16490,8.29,6.71,44.7%,OPEN_SLOW,20,Z2
DATA,16748,8.28,6.72,44.8%,OPEN_SLOW,20,Z2
DATA,17006,8.21,6.79,45.2%,OPEN_SLOW,20,Z2
DATA,17264,8.19,6.81,45.4%,OPEN_SLOW,20,Z2
DATA,17523,8.25,6.75,45.0%,OPEN_SLOW,20,Z2
DATA,17781,8.21,6.79,45.3%,OPEN_SLOW,20,Z2
DATA,18039,8.15,6.85,45.6%,OPEN_SLOW,20,Z2
DATA,18298,8.02,6.98,46.5%,OPEN_SLOW,20,Z2
BRIDGING #2 @8.08g hammer
DATA,18556,8.08,6.92,46.2%,OPEN_SLOW,20,Z2
DATA,18815,8.17,6.83,45.6%,OPEN_SLOW,20,Z2
DATA,19073,8.20,6.80,45.3%,OPEN_SLOW,20,Z2
DATA,19331,8.15,6.85,45.7%,OPEN_SLOW,20,Z2
DATA,19589,8.86,6.14,40.9%,OPEN_SLOW,20,Z2
DATA,19847,9.66,5.34,35.6%,OPEN_SLOW,20,Z2
