======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 15.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 14.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 4
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Servo_deg: 0
ataFomat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.11,14.89,99.3%,OPEN_SLOW,20,Z1
DATA,218,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.07,14.93,99.6%,OPEN_SLOW,20,Z1
DATA,734,0.12,14.88,99.2%,OPEN_SLOW,20,Z1
DATA,993,0.12,14.88,99.2%,OPEN_SLOW,20,Z1
DATA,1251,0.18,14.82,98.8%,OPEN_SLOW,20,Z1
DATA,1509,0.12,14.88,99.2%,OPEN_SLOW,20,Z1
DATA,1768,0.06,14.94,99.6%,OPEN_SLOW,20,Z1
DATA,2026,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,2285,0.01,14.99,100.0%,OPEN_SLOW,20,Z1
DATA,2543,0.46,14.54,96.9%,OPEN_SLOW,20,Z1
DATA,2801,0.45,14.55,97.0%,OPEN_SLOW,20,Z1
DATA,3059,0.50,14.50,96.6%,OPEN_SLOW,20,Z1
DATA,3318,0.57,14.43,96.2%,OPEN_SLOW,20,Z1
DATA,3576,0.53,14.47,96.5%,OPEN_SLOW,20,Z1
DATA,3834,0.48,14.52,96.8%,OPEN_SLOW,20,Z1
DATA,4093,0.50,14.50,96.7%,OPEN_SLOW,20,Z1
DATA,4351,0.47,14.53,96.9%,OPEN_SLOW,20,Z1
DATA,4609,0.83,14.17,94.5%,OPEN_SLOW,20,Z1
DATA,4868,1.20,13.80,92.0%,OPEN_SLOW,20,Z1
DATA,5126,1.19,13.81,92.1%,OPEN_SLOW,20,Z1
DATA,5384,1.16,13.84,92.3%,OPEN_SLOW,20,Z1
DATA,5643,1.14,13.86,92.4%,OPEN_SLOW,20,Z1
DATA,5901,1.17,13.83,92.2%,OPEN_SLOW,20,Z1
DATA,6159,1.14,13.86,92.4%,OPEN_SLOW,20,Z1
DATA,6418,1.13,13.87,92.5%,OPEN_SLOW,20,Z1
DATA,6676,1.90,13.10,87.3%,OPEN_SLOW,20,Z1
DATA,6934,2.02,12.98,86.5%,OPEN_SLOW,20,Z1
DATA,7192,2.01,12.99,86.6%,OPEN_SLOW,20,Z1
