======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 15.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 14.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 6
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.02,14.98,99.9%,OPEN_SLOW,20,Z1
DATA,476,0.02,14.98,99.9%,OPEN_SLOW,20,Z1
DATA,734,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,993,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,1251,0.01,14.99,99.9%,OPEN_SLOW,20,Z1
DATA,1509,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,1768,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,2026,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,2284,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,2542,0.59,14.41,96.1%,OPEN_SLOW,20,Z1
DATA,2801,0.77,14.23,94.9%,OPEN_SLOW,20,Z1
DATA,3059,0.81,14.19,94.6%,OPEN_SLOW,20,Z1
DATA,3317,0.84,14.16,94.4%,OPEN_SLOW,20,Z1
DATA,3576,0.91,14.09,93.9%,OPEN_SLOW,20,Z1
DATA,3834,0.80,14.20,94.7%,OPEN_SLOW,20,Z1
DATA,4092,0.65,14.35,95.7%,OPEN_SLOW,20,Z1
DATA,4351,0.84,14.16,94.4%,OPEN_SLOW,20,Z1
DATA,4609,1.66,13.34,88.9%,OPEN_SLOW,20,Z1
DATA,4867,1.54,13.46,89.7%,OPEN_SLOW,20,Z1
DATA,5125,0.95,14.05,93.6%,OPEN_SLOW,20,Z1
DATA,5384,0.98,14.02,93.4%,OPEN_SLOW,20,Z1
DATA,5642,1.17,13.83,92.2%,OPEN_SLOW,20,Z1
DATA,5900,1.00,14.00,93.3%,OPEN_SLOW,20,Z1
BRIDGING #1 @1.14g hammer
DATA,6159,1.14,13.86,92.4%,OPEN_SLOW,20,Z1
DATA,6417,1.14,13.86,92.4%,OPEN_SLOW,20,Z1
DATA,6675,1.11,13.89,92.6%,OPEN_SLOW,20,Z1
DATA,6933,1.10,13.90,92.7%,OPEN_SLOW,20,Z1
DATA,7192,1.83,13.17,87.8%,OPEN_SLOW,20,Z1
DATA,7450,2.79,12.21,81.4%,OPEN_SLOW,20,Z1
DATA,7708,2.41,12.59,83.9%,OPEN_SLOW,20,Z1
DATA,7966,2.35,12.65,84.3%,OPEN_SLOW,20,Z1
DATA,8225,2.31,12.69,84.6%,OPEN_SLOW,20,Z1
DATA,8483,2.42,12.58,83.8%,OPEN_SLOW,20,Z1
DATA,8741,2.41,12.59,83.9%,OPEN_SLOW,20,Z1
DATA,8999,2.82,12.18,81.2%,OPEN_SLOW,20,Z1
DATA,9258,2.92,12.08,80.5%,OPEN_SLOW,20,Z1
DATA,9516,2.88,12.12,80.8%,OPEN_SLOW,20,Z1
DATA,9774,2.85,12.15,81.0%,OPEN_SLOW,20,Z1
DATA,10033,2.78,12.22,81.4%,OPEN_SLOW,20,Z1
DATA,10291,2.92,12.08,80.5%,OPEN_SLOW,20,Z1
DATA,10549,2.99,12.01,80.1%,OPEN_SLOW,20,Z1
DATA,10808,2.89,12.11,80.7%,OPEN_SLOW,20,Z1
DATA,11066,2.85,12.15,81.0%,OPEN_SLOW,20,Z1
DATA,11324,2.86,12.14,80.9%,OPEN_SLOW,20,Z1
DATA,11583,2.90,12.10,80.7%,OPEN_SLOW,20,Z1
DATA,11841,2.84,12.16,81.1%,OPEN_SLOW,20,Z1
DATA,12099,2.86,12.14,80.9%,OPEN_SLOW,20,Z1
BRIDGING #2 @2.85g hammer
DATA,12357,2.85,12.15,81.0%,OPEN_SLOW,20,Z1
DATA,12616,2.85,12.15,81.0%,OPEN_SLOW,20,Z1
DATA,12874,2.86,12.14,80.9%,OPEN_SLOW,20,Z1
DATA,13132,2.86,12.14,80.9%,OPEN_SLOW,20,Z1
DATA,13390,3.04,11.96,79.8%,OPEN_SLOW,20,Z1
DATA,13649,4.80,10.20,68.0%,OPEN_SLOW,20,Z1
DATA,13907,5.04,9.96,66.4%,OPEN_SLOW,20,Z1
DATA,14165,5.00,10.00,66.6%,OPEN_SLOW,20,Z1
DATA,14424,4.99,10.01,66.7%,OPEN_SLOW,20,Z1
DATA,14682,5.00,10.00,66.6%,OPEN_SLOW,20,Z1
DATA,14940,5.02,9.98,66.6%,OPEN_SLOW,20,Z1
DATA,15198,5.45,9.55,63.7%,OPEN_SLOW,20,Z1
DATA,15457,5.81,9.19,61.3%,OPEN_SLOW,20,Z1
DATA,15715,5.75,9.25,61.7%,OPEN_SLOW,20,Z1
DATA,15973,5.74,9.26,61.8%,OPEN_SLOW,20,Z1
DATA,16232,5.76,9.24,61.6%,OPEN_SLOW,20,Z1
DATA,16490,5.74,9.26,61.8%,OPEN_SLOW,20,Z1
DATA,16748,5.75,9.25,61.7%,OPEN_SLOW,20,Z1
DATA,17007,5.77,9.23,61.5%,OPEN_SLOW,20,Z1
DATA,17265,5.75,9.25,61.6%,OPEN_SLOW,20,Z1
DATA,17523,5.77,9.23,61.5%,OPEN_SLOW,20,Z1
DATA,17781,5.76,9.24,61.6%,OPEN_SLOW,20,Z1
DATA,18040,5.82,9.18,61.2%,OPEN_SLOW,20,Z1
DATA,18298,5.72,9.28,61.9%,OPEN_SLOW,20,Z1
BRIDGING #3 @5.73g hammer
DATA,18556,5.73,9.27,61.8%,OPEN_SLOW,20,Z1
DATA,18815,5.74,9.26,61.7%,OPEN_SLOW,20,Z1
DATA,19073,5.71,9.29,62.0%,OPEN_SLOW,20,Z1
DATA,19331,5.71,9.29,62.0%,OPEN_SLOW,20,Z1
DATA,19589,5.89,9.11,60.7%,OPEN_SLOW,20,Z1
DATA,19848,6.68,8.32,55.5%,OPEN_SLOW,20,Z1
DATA,20106,6.60,8.40,56.0%,OPEN_SLOW,20,Z1
DATA,20364,6.55,8.45,56.4%,OPEN_SLOW,20,Z1
DATA,20622,6.86,8.14,54.2%,OPEN_SLOW,20,Z1
DATA,20881,6.75,8.25,55.0%,OPEN_SLOW,20,Z1
DATA,21139,6.60,8.40,56.0%,OPEN_SLOW,20,Z1
DATA,21397,6.94,8.06,53.7%,OPEN_SLOW,20,Z1
DATA,21655,7.08,7.92,52.8%,OPEN_SLOW,20,Z1
DATA,21914,7.04,7.96,53.1%,OPEN_SLOW,20,Z1
DATA,22172,7.02,7.98,53.2%,OPEN_SLOW,20,Z1
DATA,22430,6.95,8.05,53.7%,OPEN_SLOW,20,Z1
DATA,22689,7.06,7.94,52.9%,OPEN_SLOW,20,Z1
DATA,22947,7.06,7.94,53.0%,OPEN_SLOW,20,Z1
DATA,23205,7.07,7.93,52.8%,OPEN_SLOW,20,Z1
DATA,23464,6.88,8.12,54.2%,OPEN_SLOW,20,Z1
DATA,23722,7.10,7.90,52.6%,OPEN_SLOW,20,Z1
DATA,23980,7.06,7.94,52.9%,OPEN_SLOW,20,Z1
DATA,24239,6.95,8.05,53.7%,OPEN_SLOW,20,Z1
DATA,24497,7.05,7.95,53.0%,OPEN_SLOW,20,Z1
BRIDGING #4 @7.00g hammer
DATA,24755,7.00,8.00,53.4%,OPEN_SLOW,20,Z1
DATA,25014,6.93,8.07,53.8%,OPEN_SLOW,20,Z1
DATA,25272,7.02,7.98,53.2%,OPEN_SLOW,20,Z1
DATA,25530,7.03,7.97,53.2%,OPEN_SLOW,20,Z1
DATA,25788,7.23,7.77,51.8%,OPEN_SLOW,20,Z1
DATA,26046,9.08,5.92,39.5%,OPEN_SLOW,20,Z2
DATA,26305,8.98,6.02,40.1%,OPEN_SLOW,20,Z2
DATA,26563,9.00,6.00,40.0%,OPEN_SLOW,20,Z2
DATA,26821,9.03,5.97,39.8%,OPEN_SLOW,20,Z2
DATA,27080,9.03,5.97,39.8%,OPEN_SLOW,20,Z2
DATA,27338,9.02,5.98,39.9%,OPEN_SLOW,20,Z2
DATA,27596,9.30,5.70,38.0%,OPEN_SLOW,20,Z2
DATA,27854,9.42,5.58,37.2%,OPEN_SLOW,20,Z2
DATA,28113,9.43,5.57,37.1%,OPEN_SLOW,20,Z2
DATA,28371,9.43,5.57,37.2%,OPEN_SLOW,20,Z2
DATA,28629,9.44,5.56,37.1%,OPEN_SLOW,20,Z2
DATA,28888,9.41,5.59,37.2%,OPEN_SLOW,20,Z2
DATA,29146,9.41,5.59,37.2%,OPEN_SLOW,20,Z2
DATA,29404,9.93,5.07,33.8%,OPEN_SLOW,20,Z2
DATA,29662,11.12,3.88,25.9%,OPEN_SLOW,20,Z2
DATA,29921,11.04,3.96,26.4%,OPEN_SLOW,20,Z2
DATA,30179,11.02,3.98,26.5%,OPEN_SLOW,20,Z2
DATA,30437,11.00,4.00,26.7%,OPEN_SLOW,20,Z2
DATA,30696,10.96,4.04,26.9%,OPEN_SLOW,20,Z2
DATA,30954,11.04,3.96,26.4%,OPEN_SLOW,20,Z2
DATA,31212,11.01,3.99,26.6%,OPEN_SLOW,20,Z2
DATA,31470,11.41,3.59,23.9%,OPEN_SLOW,20,Z2
DATA,31729,12.02,2.98,19.9%,OPEN_SLOW,20,Z2
DATA,31987,12.08,2.92,19.4%,OPEN_SLOW,20,Z2
DATA,32245,12.06,2.94,19.6%,OPEN_SLOW,20,Z2
DATA,32504,12.02,2.98,19.9%,OPEN_SLOW,20,Z2
DATA,32762,12.03,2.97,19.8%,OPEN_SLOW,20,Z2
DATA,33020,12.02,2.98,19.8%,OPEN_SLOW,20,Z2
DATA,33279,11.99,3.01,20.1%,OPEN_SLOW,20,Z2
DATA,33537,13.39,1.61,10.7%,OPEN_SLOW,20,Z3
=== SUMMARY TRIAL ===
Controller: Manual Presisi
TrialNo: 6
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
FinalMass_g: 14.49
FinalError_g: -0.51
FinalError_pct: -3.37
Duration_ms: 34053
Duration_s: 34.05
TimeTo90_ms: 33795
RiseTime_10_90_ms: 29186
SettlingTime_ms: 33795
MaxMass_g: 14.65
MaxOvershoot_g: 0.00
MaxOvershoot_pct: 0.00
BridgingCount: 4
Status: AKURAT
Valid: TRUE
StopReason: TARGET
=== TRIAL END ===
r=reset | g=ulangi | c=parameter
