======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 15.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 14.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 9
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.05,14.95,99.6%,OPEN_SLOW,20,Z1
DATA,217,0.07,14.93,99.5%,OPEN_SLOW,20,Z1
DATA,475,0.01,14.99,99.9%,OPEN_SLOW,20,Z1
DATA,734,0.02,14.98,99.9%,OPEN_SLOW,20,Z1
DATA,992,0.00,15.00,100.0%,OPEN_SLOW,20,Z1
DATA,1250,0.02,14.98,99.9%,OPEN_SLOW,20,Z1
DATA,1509,0.04,14.96,99.7%,OPEN_SLOW,20,Z1
DATA,1767,0.06,14.94,99.6%,OPEN_SLOW,20,Z1
DATA,2025,0.01,14.99,99.9%,OPEN_SLOW,20,Z1
DATA,2284,0.06,14.94,99.6%,OPEN_SLOW,20,Z1
DATA,2542,0.75,14.25,95.0%,OPEN_SLOW,20,Z1
DATA,2800,1.43,13.57,90.5%,OPEN_SLOW,20,Z1
DATA,3059,1.48,13.52,90.1%,OPEN_SLOW,20,Z1
DATA,3317,1.52,13.48,89.9%,OPEN_SLOW,20,Z1
DATA,3575,1.50,13.50,90.0%,OPEN_SLOW,20,Z1
DATA,3834,1.55,13.45,89.6%,OPEN_SLOW,20,Z1
DATA,4092,1.50,13.50,90.0%,OPEN_SLOW,20,Z1
DATA,4350,1.49,13.51,90.1%,OPEN_SLOW,20,Z1
DATA,4608,1.80,13.20,88.0%,OPEN_SLOW,20,Z1
DATA,4867,1.85,13.15,87.7%,OPEN_SLOW,20,Z1
