=========================================
 SKENARIO 2 — OPEN LOOP PRESISI
 PET FEEDER - ESP32
=========================================
Mode: Servo tetap 20deg, tidak ada PID
Tujuan: Benchmark presisi tanpa kontrol
Hipotesis: Presisi tapi settling time lama
Timeout: 120 detik (diperpanjang)
-----------------------------------------
PERINTAH:
  s<g> = setpoint | e<g> = early stop (default 0.4g)
  g = mulai | r = reset | x = stop | c = param
=========================================
======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 20.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 19.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
STATUS: SIAP
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 1
Setpoint_g: 20.00
EarlyStop_g: 0.40
StopTarget_g: 19.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ==
DATA,100,0.08,19.92,99.6%,OPEN_SLOW,20,Z1
DATA,218,0.13,19.87,99.4%,OPEN_SLOW,20,Z1
DATA,476,0.21,19.79,98.9%,OPEN_SLOW,20,Z1
DATA,734,0.13,19.87,99.4%,OPEN_SLOW,20,Z1
DATA,992,0.15,19.85,99.2%,OPEN_SLOW,20,Z1
DATA,1251,0.24,19.76,98.8%,OPEN_SLOW,20,Z1
DATA,1509,0.18,19.82,99.1%,OPEN_SLOW,20,Z1
DATA,1767,0.24,19.76,98.8%,OPEN_SLOW,20,Z1
DATA,2026,0.20,19.80,99.0%,OPEN_SLOW,20,Z1
DATA,2284,0.25,19.75,98.7%,OPEN_SLOW,20,Z1
DATA,2542,1.16,18.84,94.2%,OPEN_SLOW,20,Z1
DATA,2800,1.02,18.98,94.9%,OPEN_SLOW,20,Z1
DATA,3059,1.39,18.61,93.1%,OPEN_SLOW,20,Z1
DATA,3317,1.45,18.55,92.8%,OPEN_SLOW,20,Z1
DATA,3575,1.56,18.44,92.2%,OPEN_SLOW,20,Z1
DATA,3833,1.61,18.39,92.0%,OPEN_SLOW,20,Z1
DATA,4092,1.46,18.54,92.7%,OPEN_SLOW,20,Z1
DATA,4350,1.50,18.50,92.5%,OPEN_SLOW,20,Z1
DATA,4608,2.33,17.67,88.4%,OPEN_SLOW,20,Z1
DATA,4866,2.29,17.71,88.6%,OPEN_SLOW,20,Z1
DATA,5125,2.14,17.86,89.3%,OPEN_SLOW,20,Z1
DATA,5383,2.23,17.77,88.8%,OPEN_SLOW,20,Z1
DATA,5641,2.27,17.73,88.6%,OPEN_SLOW,20,Z1
DATA,5900,2.32,17.68,88.4%,OPEN_SLOW,20,Z1
DATA,6158,2.37,17.63,88.2%,OPEN_SLOW,20,Z1
DATA,6416,2.39,17.61,88.0%,OPEN_SLOW,20,Z1
DATA,6674,2.47,17.53,87.7%,OPEN_SLOW,20,Z1
DATA,6933,2.51,17.49,87.4%,OPEN_SLOW,20,Z1
DATA,7191,2.53,17.47,87.3%,OPEN_SLOW,20,Z1
DATA,7449,2.56,17.44,87.2%,OPEN_SLOW,20,Z1
DATA,7707,2.54,17.46,87.3%,OPEN_SLOW,20,Z1
DATA,7966,2.54,17.46,87.3%,OPEN_SLOW,20,Z1
DATA,8224,2.57,17.43,87.1%,OPEN_SLOW,20,Z1
DATA,8482,2.54,17.46,87.3%,OPEN_SLOW,20,Z1
DATA,8741,2.53,17.47,87.4%,OPEN_SLOW,20,Z1
DATA,8999,2.54,17.46,87.3%,OPEN_SLOW,20,Z1
BRIDGING #1 @2.52g hammer
DATA,9257,2.52,17.48,87.4%,OPEN_SLOW,20,Z1
DATA,9516,2.57,17.43,87.2%,OPEN_SLOW,20,Z1
DATA,9773,2.56,17.44,87.2%,OPEN_SLOW,20,Z1
DATA,10032,2.54,17.46,87.3%,OPEN_SLOW,20,Z1
DATA,10290,3.21,16.79,84.0%,OPEN_SLOW,20,Z1
DATA,10548,7.30,12.70,63.5%,OPEN_SLOW,20,Z1
DATA,10806,10.70,9.30,46.5%,OPEN_SLOW,20,Z2
DATA,11065,10.84,9.16,45.8%,OPEN_SLOW,20,Z2
DATA,11323,10.70,9.30,46.5%,OPEN_SLOW,20,Z2
DATA,11581,10.72,9.28,46.4%,OPEN_SLOW,20,Z2
DATA,11839,10.69,9.31,46.6%,OPEN_SLOW,20,Z2
DATA,12097,10.84,9.16,45.8%,OPEN_SLOW,20,Z2
DATA,12356,10.82,9.18,45.9%,OPEN_SLOW,20,Z2
DATA,12614,10.86,9.14,45.7%,OPEN_SLOW,20,Z2
DATA,12872,10.92,9.08,45.4%,OPEN_SLOW,20,Z2
DATA,13131,10.82,9.18,45.9%,OPEN_SLOW,20,Z2
DATA,13389,10.81,9.19,46.0%,OPEN_SLOW,20,Z2
DATA,13647,10.74,9.26,46.3%,OPEN_SLOW,20,Z2
DATA,13905,10.74,9.26,46.3%,OPEN_SLOW,20,Z2
DATA,14164,10.83,9.17,45.8%,OPEN_SLOW,20,Z2
DATA,14422,10.92,9.08,45.4%,OPEN_SLOW,20,Z2
DATA,14680,11.01,8.99,45.0%,OPEN_SLOW,20,Z2
DATA,14938,11.11,8.89,44.4%,OPEN_SLOW,20,Z2
DATA,15197,10.87,9.13,45.6%,OPEN_SLOW,20,Z2
BRIDGING #2 @10.81g hammer
DATA,15455,10.81,9.19,46.0%,OPEN_SLOW,20,2
DATA,15713,10.80,9.20,46.0%,OPEN_SLOW,20,Z2
DATA,15971,10.78,9.22,46.1%,OPEN_SLOW,20,Z2
DATA,16230,10.91,9.09,45.5%,OPEN_SLOW,20,Z2
DATA,16488,10.93,9.07,45.4%,OPEN_SLOW,20,Z2
DATA,16746,10.98,9.02,45.1%,OPEN_SLOW,20,Z2
DATA,17004,10.94,9.06,45.3%,OPEN_SLOW,20,Z2
DATA,17262,10.93,9.07,45.3%,OPEN_SLOW,20,Z2
DATA,17521,10.89,9.11,45.5%,OPEN_SLOW,20,Z2
DATA,17779,11.00,9.00,45.0%,OPEN_SLOW,20,Z2
DATA,18037,10.91,9.09,45.4%,OPEN_SLOW,20,Z2
DATA,18295,10.72,9.28,46.4%,OPEN_SLOW,20,Z2
BRIDGING #3 @10.68g hammer
DATA,18554,10.68,9.32,46.6%,OPEN_SLOW,20,Z2
DATA,18812,10.90,9.10,45.5%,OPEN_SLOW,20,Z2
DATA,19070,11.18,8.82,44.1%,OPEN_SLOW,20,Z2
DATA,19328,10.92,9.08,45.4%,OPEN_SLOW,20,Z2
DATA,19586,11.28,8.72,43.6%,OPEN_SLOW,20,Z2
DATA,19845,11.72,8.28,41.4%,OPEN_SLOW,20,Z2
DATA,20103,11.76,8.24,41.2%,OPEN_SLOW,20,Z2
DATA,20361,11.89,8.11,40.5%,OPEN_SLOW,20,Z2
DATA,20619,11.84,8.16,40.8%,OPEN_SLOW,20,Z2
DATA,20878,11.74,8.26,41.3%,OPEN_SLOW,20,Z2
DATA,21136,11.73,8.27,41.4%,OPEN_SLOW,20,Z2
DATA,21394,11.75,8.25,41.3%,OPEN_SLOW,20,Z2
