                                                                =
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 25.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 24.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 2
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.05,24.95,99.8%,OPEN_SLOW,20,Z1
DATA,218,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,734,0.02,24.98,99.9%,OPEN_SLOW,20,Z1
DATA,993,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,1251,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,1509,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,1768,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,2026,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,2284,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,2543,1.11,23.89,95.6%,OPEN_SLOW,20,Z1
DATA,2801,1.33,23.67,94.7%,OPEN_SLOW,20,Z1
DATA,3059,1.28,23.72,94.9%,OPEN_SLOW,20,Z1
DATA,3318,1.30,23.70,94.8%,OPEN_SLOW,20,Z1
DATA,3576,1.39,23.61,94.5%,OPEN_SLOW,20,Z1
DATA,3834,1.40,23.60,94.4%,OPEN_SLOW,20,Z1
DATA,4092,1.32,23.68,94.7%,OPEN_SLOW,20,Z1
DATA,4351,1.28,23.72,94.9%,OPEN_SLOW,20,Z1
DATA,4609,1.26,23.74,95.0%,OPEN_SLOW,20,Z1
DATA,4867,1.29,23.71,94.8%,OPEN_SLOW,20,Z1
DATA,5126,1.40,23.60,94.4%,OPEN_SLOW,20,Z1
DATA,5384,1.30,23.70,94.8%,OPEN_SLOW,20,Z1
DATA,5642,1.32,23.68,94.7%,OPEN_SLOW,20,Z1
DATA,5901,1.33,23.67,94.7%,OPEN_SLOW,20,Z1
BRIDGING #1 @1.42g hammer
DATA,6159,1.42,23.58,94.3%,OPEN_SLOW,20,Z1
DATA,6418,1.35,23.65,94.6%,OPEN_SLOW,20,Z1
DATA,6676,1.26,23.74,94.9%,OPEN_SLOW,20,Z1
DATA,6934,1.43,23.57,94.3%,OPEN_SLOW,20,Z1
DATA,7192,2.13,22.87,91.5%,OPEN_SLOW,20,Z1
DATA,7450,5.69,19.31,77.2%,OPEN_SLOW,20,Z1
DATA,7709,8.29,16.71,66.8%,OPEN_SLOW,20,Z1
DATA,7967,9.02,15.98,63.9%,OPEN_SLOW,20,Z1
DATA,8225,9.18,15.82,63.3%,OPEN_SLOW,20,Z1
DATA,8483,9.11,15.89,63.6%,OPEN_SLOW,20,Z1
DATA,8742,9.21,15.79,63.2%,OPEN_SLOW,20,Z1
DATA,9000,9.33,15.67,62.7%,OPEN_SLOW,20,Z1
DATA,9258,9.24,15.76,63.0%,OPEN_SLOW,20,Z1
DATA,9517,9.13,15.87,63.5%,OPEN_SLOW,20,Z1
DATA,9775,9.18,15.82,63.3%,OPEN_SLOW,20,Z1
DATA,10033,9.25,15.75,63.0%,OPEN_SLOW,20,Z1
DATA,10292,9.21,15.79,63.2%,OPEN_SLOW,20,Z1
DATA,10550,9.26,15.74,62.9%,OPEN_SLOW,20,Z1
DATA,10808,9.21,15.79,63.1%,OPEN_SLOW,20,Z1
DATA,11067,9.11,15.89,63.6%,OPEN_SLOW,20,Z1
DATA,11325,9.11,15.89,63.5%,OPEN_SLOW,20,Z1
DATA,11583,9.24,15.76,63.1%,OPEN_SLOW,20,Z1
DATA,11841,9.28,15.72,62.9%,OPEN_SLOW,20,Z1
DATA,12100,9.21,15.79,63.1%,OPEN_SLOW,20,Z1
BRIDGING #2 @9.21g hammer
DATA,12358,9.21,15.79,63.2%,OPEN_SLOW,20,Z1
DATA,12617,9.15,15.85,63.4%,OPEN_SLOW,20,Z1
DATA,12875,9.16,15.84,63.4%,OPEN_SLOW,20,Z1
DATA,13133,9.20,15.80,63.2%,OPEN_SLOW,20,Z1
DATA,13391,9.66,15.34,61.4%,OPEN_SLOW,20,Z1
DATA,13649,11.37,13.63,54.5%,OPEN_SLOW,20,Z1
DATA,13908,11.95,13.05,52.2%,OPEN_SLOW,20,Z1
DATA,14166,11.86,13.14,52.6%,OPEN_SLOW,20,Z1
DATA,14424,11.88,13.12,52.5%,OPEN_SLOW,20,Z1
DATA,14683,11.86,13.14,52.6%,OPEN_SLOW,20,Z1
DATA,14941,11.89,13.11,52.5%,OPEN_SLOW,20,Z1
DATA,15199,11.84,13.16,52.6%,OPEN_SLOW,20,Z1
DATA,15457,11.87,13.13,52.5%,OPEN_SLOW,20,Z1
DATA,15716,11.84,13.16,52.6%,OPEN_SLOW,20,Z1
DATA,15974,11.84,13.16,52.6%,OPEN_SLOW,20,Z1
DATA,16232,11.86,13.14,52.5%,OPEN_SLOW,20,Z1
DATA,16491,11.87,13.13,52.5%,OPEN_SLOW,20,Z1
DATA,16749,11.83,13.17,52.7%,OPEN_SLOW,20,Z1
DATA,17007,12.00,13.00,52.0%,OPEN_SLOW,20,Z1
DATA,17266,12.03,12.97,51.9%,OPEN_SLOW,20,Z1
DATA,17524,12.06,12.94,51.8%,OPEN_SLOW,20,Z1
