======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 25.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 24.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 5
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Servo_deg: 20
DtaFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,217,0.23,24.77,99.1%,OPEN_SLOW,20,Z1
DATA,476,0.49,24.51,98.0%,OPEN_SLOW,20,Z1
DATA,734,0.48,24.52,98.1%,OPEN_SLOW,20,Z1
DATA,992,0.48,24.52,98.1%,OPEN_SLOW,20,Z1
DATA,1251,0.46,24.54,98.2%,OPEN_SLOW,20,Z1
DATA,1509,0.45,24.55,98.2%,OPEN_SLOW,20,Z1
DATA,1767,0.46,24.54,98.2%,OPEN_SLOW,20,Z1
DATA,2026,0.41,24.59,98.4%,OPEN_SLOW,20,Z1
DATA,2284,0.45,24.55,98.2%,OPEN_SLOW,20,Z1
DATA,2542,1.11,23.89,95.5%,OPEN_SLOW,20,Z1
DATA,2801,1.10,23.90,95.6%,OPEN_SLOW,20,Z1
DATA,3059,1.09,23.91,95.6%,OPEN_SLOW,20,Z1
DATA,3317,1.11,23.89,95.6%,OPEN_SLOW,20,Z1
DATA,3576,1.11,23.89,95.5%,OPEN_SLOW,20,Z1
DATA,3834,1.10,23.90,95.6%,OPEN_SLOW,20,Z1
DATA,4092,1.08,23.92,95.7%,OPEN_SLOW,20,Z1
DATA,4351,1.05,23.95,95.8%,OPEN_SLOW,20,Z1
DATA,4609,1.17,23.83,95.3%,OPEN_SLOW,20,Z1
DATA,4867,1.27,23.73,94.9%,OPEN_SLOW,20,Z1
DATA,5126,1.29,23.71,94.8%,OPEN_SLOW,20,Z1
DATA,5384,1.26,23.74,94.9%,OPEN_SLOW,20,Z1
DATA,5642,1.28,23.72,94.9%,OPEN_SLOW,20,Z1
DATA,5901,1.30,23.70,94.8%,OPEN_SLOW,20,Z1
BRIDGING #1 @1.24g hammer
DATA,6159,1.24,23.76,95.0%,OPEN_SLOW,20,Z1
DATA,6418,1.26,23.74,95.0%,OPEN_SLOW,20,Z1
DATA,6676,1.26,23.74,95.0%,OPEN_SLOW,20,Z1
DATA,6934,1.22,23.78,95.1%,OPEN_SLOW,20,Z1
DATA,7192,1.82,23.18,92.7%,OPEN_SLOW,20,Z1
DATA,7450,2.52,22.48,89.9%,OPEN_SLOW,20,Z1
DATA,7709,2.32,22.68,90.7%,OPEN_SLOW,20,Z1
DATA,7967,2.24,22.76,91.0%,OPEN_SLOW,20,Z1
DATA,8225,2.46,22.54,90.2%,OPEN_SLOW,20,Z1
DATA,8484,2.57,22.43,89.7%,OPEN_SLOW,20,Z1
DATA,8742,2.55,22.45,89.8%,OPEN_SLOW,20,Z1
DATA,9000,2.89,22.11,88.4%,OPEN_SLOW,20,Z1
DATA,9258,2.85,22.15,88.6%,OPEN_SLOW,20,Z1
DATA,9517,2.87,22.13,88.5%,OPEN_SLOW,20,Z1
DATA,9775,2.85,22.15,88.6%,OPEN_SLOW,20,Z1
DATA,10033,2.99,22.01,88.0%,OPEN_SLOW,20,Z1
DATA,10292,3.04,21.96,87.8%,OPEN_SLOW,20,Z1
DATA,10550,2.87,22.13,88.5%,OPEN_SLOW,20,Z1
DATA,10808,2.82,22.18,88.7%,OPEN_SLOW,20,Z1
DATA,11067,2.72,22.28,89.1%,OPEN_SLOW,20,Z1
DATA,11325,2.75,22.25,89.0%,OPEN_SLOW,20,Z1
DATA,11583,3.03,21.97,87.9%,OPEN_SLOW,20,Z1
DATA,11842,3.01,21.99,87.9%,OPEN_SLOW,20,Z1
DATA,12100,3.00,22.00,88.0%,OPEN_SLOW,20,Z1
BRIDGING #2 @2.99g hammer
DATA,12358,2.99,22.01,88.0%,OPEN_SLOW,20,Z1
DATA,12617,2.96,22.04,88.2%,OPEN_SLOW,20,Z1
DATA,12875,3.02,21.98,87.9%,OPEN_SLOW,20,Z1
DATA,13133,2.87,22.13,88.5%,OPEN_SLOW,20,Z1
DATA,13391,2.76,22.24,89.0%,OPEN_SLOW,20,Z1
