======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 2
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.0
Servodeg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,218,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.03,29.97,99.9%,OPEN_SLOW,20,Z1
DATA,735,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,993,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,1251,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,1509,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,1768,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,2026,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,2284,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,2543,0.78,29.22,97.4%,OPEN_SLOW,20,Z1
DATA,2801,0.74,29.26,97.5%,OPEN_SLOW,20,Z1
DATA,3059,0.75,29.25,97.5%,OPEN_SLOW,20,Z1
DATA,3318,0.78,29.22,97.4%,OPEN_SLOW,20,Z1
DATA,3576,0.77,29.23,97.4%,OPEN_SLOW,20,Z1
DATA,3834,0.70,29.30,97.7%,OPEN_SLOW,20,Z1
DATA,4093,1.03,28.97,96.6%,OPEN_SLOW,20,Z1
DATA,4351,0.90,29.10,97.0%,OPEN_SLOW,20,Z1
DATA,4609,0.98,29.02,96.7%,OPEN_SLOW,20,Z1
DATA,4867,0.91,29.09,97.0%,OPEN_SLOW,20,Z1
DATA,5126,0.68,29.32,97.7%,OPEN_SLOW,20,Z1
DATA,5384,0.79,29.21,97.4%,OPEN_SLOW,20,Z1
DATA,5642,0.82,29.18,97.3%,OPEN_SLOW,20,Z1
DATA,5901,1.03,28.97,96.6%,OPEN_SLOW,20,Z1
BRIDGING #1 @0.80g hammer
DATA,6159,0.80,29.20,97.3%,OPEN_SLOW,20,Z1
DATA,6418,0.76,29.24,97.5%,OPEN_SLOW,20,Z1
DATA,6676,0.73,29.27,97.6%,OPEN_SLOW,20,Z1
DATA,6934,0.87,29.13,97.1%,OPEN_SLOW,20,Z1
