RESET. Servo tutup. Tare selesai. Siap.
======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 3
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,218,0.07,29.93,99.8%,OPEN_SLOW,20,Z1
DATA,476,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,734,0.08,29.92,99.7%,OPEN_SLOW,20,Z1
DATA,993,0.07,29.93,99.8%,OPEN_SLOW,20,Z1
DATA,1251,0.10,29.90,99.7%,OPEN_SLOW,20,Z1
DATA,1509,0.09,29.91,99.7%,OPEN_SLOW,20,Z1
DATA,1768,0.10,29.90,99.7%,OPEN_SLOW,20,Z1
DATA,2026,0.06,29.94,99.8%,OPEN_SLOW,20,Z1
DATA,2284,0.11,29.89,99.6%,OPEN_SLOW,20,Z1
DATA,2543,0.81,29.19,97.3%,OPEN_SLOW,20,Z1
DATA,2801,1.23,28.77,95.9%,OPEN_SLOW,20,Z1
DATA,3059,1.19,28.81,96.0%,OPEN_SLOW,20,Z1
DATA,3318,1.16,28.84,96.1%,OPEN_SLOW,20,Z1
DATA,3576,1.16,28.84,96.1%,OPEN_SLOW,20,Z1
DATA,3834,1.20,28.80,96.0%,OPEN_SLOW,20,Z1
DATA,4093,1.19,28.81,96.0%,OPEN_SLOW,20,Z1
DATA,4351,1.12,28.88,96.3%,OPEN_SLOW,20,Z1
DATA,4609,1.30,28.70,95.7%,OPEN_SLOW,20,Z1
DATA,4867,1.45,28.55,95.2%,OPEN_SLOW,20,Z1
DATA,5126,1.31,28.69,95.6%,OPEN_SLOW,20,Z1
DATA,5384,1.50,28.50,95.0%,OPEN_SLOW,20,Z1
DATA,5642,1.63,28.37,94.6%,OPEN_SLOW,20,Z1
DATA,5901,1.58,28.42,94.7%,OPEN_SLOW,20,Z1
BRIDGING #1 @1.55g hammer
DATA,6159,1.55,28.45,94.8%,OPEN_SLOW,20,Z1
DATA,6418,1.71,28.29,94.3%,OPEN_SLOW,20,Z1
DATA,6676,1.48,28.52,95.1%,OPEN_SLOW,20,Z1
DATA,6934,1.54,28.46,94.9%,OPEN_SLOW,20,Z1
