======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
                                                                 Manual Presisi
TrialNo: 6
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.01,29.99,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,734,0.01,29.99,100.0%,OPEN_SLOW,20,Z1
DATA,993,0.10,29.90,99.7%,OPEN_SLOW,20,Z1
DATA,1251,0.15,29.85,99.5%,OPEN_SLOW,20,Z1
DATA,1509,0.10,29.90,99.7%,OPEN_SLOW,20,Z1
DATA,1767,0.06,29.94,99.8%,OPEN_SLOW,20,Z1
DATA,2026,0.08,29.92,99.7%,OPEN_SLOW,20,Z1
DATA,2284,0.08,29.92,99.7%,OPEN_SLOW,20,Z1
DATA,2542,0.86,29.14,97.1%,OPEN_SLOW,20,Z1
DATA,2801,1.12,28.88,96.3%,OPEN_SLOW,20,Z1
DATA,3059,1.15,28.85,96.2%,OPEN_SLOW,20,Z1
DATA,3317,1.13,28.87,96.2%,OPEN_SLOW,20,Z1
DATA,3576,1.19,28.81,96.0%,OPEN_SLOW,20,Z1
DATA,3834,1.20,28.80,96.0%,OPEN_SLOW,20,Z1
DATA,4092,1.18,28.82,96.1%,OPEN_SLOW,20,Z1
DATA,4350,1.13,28.87,96.2%,OPEN_SLOW,20,Z1
DATA,4609,1.48,28.52,95.1%,OPEN_SLOW,20,Z1
DATA,4867,1.83,28.17,93.9%,OPEN_SLOW,20,Z1
DATA,5125,1.83,28.17,93.9%,OPEN_SLOW,20,Z1
DATA,5384,1.81,28.19,94.0%,OPEN_SLOW,20,Z1
DATA,5642,1.76,28.24,94.1%,OPEN_SLOW,20,Z1
DATA,5900,1.79,28.21,94.0%,OPEN_SLOW,20,Z1
DATA,6159,1.80,28.20,94.0%,OPEN_SLOW,20,Z1
DATA,6417,1.79,28.21,94.0%,OPEN_SLOW,20,Z1
DATA,6675,2.21,27.79,92.6%,OPEN_SLOW,20,Z1
DATA,6933,2.43,27.57,91.9%,OPEN_SLOW,20,Z1
DATA,7192,2.42,27.58,91.9%,OPEN_SLOW,20,Z1
DATA,7450,2.40,27.60,92.0%,OPEN_SLOW,20,Z1
DATA,7708,2.38,27.62,92.1%,OPEN_SLOW,20,Z1
DATA,7967,2.44,27.56,91.9%,OPEN_SLOW,20,Z1
DATA,8225,2.43,27.57,91.9%,OPEN_SLOW,20,Z1
DATA,8483,2.39,27.61,92.0%,OPEN_SLOW,20,Z1
DATA,8742,2.63,27.37,91.2%,OPEN_SLOW,20,Z1
DATA,9000,2.63,27.37,91.2%,OPEN_SLOW,20,Z1
DATA,9258,2.57,27.43,91.4%,OPEN_SLOW,20,Z1
DATA,9516,2.60,27.40,91.3%,OPEN_SLOW,20,Z1
DATA,9775,2.59,27.41,91.4%,OPEN_SLOW,20,Z1
DATA,10033,2.61,27.39,91.3%,OPEN_SLOW,20,Z1
DATA,10291,2.57,27.43,91.4%,OPEN_SLOW,20,Z1
DATA,10550,2.59,27.41,91.4%,OPEN_SLOW,20,Z1
DATA,10808,2.62,27.38,91.3%,OPEN_SLOW,20,Z1
DATA,11066,2.65,27.35,91.2%,OPEN_SLOW,20,Z1
DATA,11324,2.63,27.37,91.2%,OPEN_SLOW,20,Z1
DATA,11583,2.64,27.36,91.2%,OPEN_SLOW,20,Z1
DATA,11841,2.65,27.35,91.2%,OPEN_SLOW,20,Z1
DATA,12099,2.67,27.33,91.1%,OPEN_SLOW,20,Z1
BRIDGING #1 @2.66g hammer
DATA,12358,2.66,27.34,91.1%,OPEN_SLOW,20,Z1
DATA,12616,2.72,27.28,90.9%,OPEN_SLOW,20,Z1
DATA,12874,2.66,27.34,91.1%,OPEN_SLOW,20,Z1
DATA,13132,2.71,27.29,91.0%,OPEN_SLOW,20,Z1
DATA,13391,3.63,26.37,87.9%,OPEN_SLOW,20,Z1
DATA,13649,5.52,24.48,81.6%,OPEN_SLOW,20,Z1
DATA,13907,5.50,24.50,81.7%,OPEN_SLOW,20,Z1
DATA,14165,5.51,24.49,81.6%,OPEN_SLOW,20,Z1
DATA,14424,5.42,24.58,81.9%,OPEN_SLOW,20,Z1
DATA,14682,5.51,24.49,81.6%,OPEN_SLOW,20,Z1
DATA,14940,5.53,24.47,81.6%,OPEN_SLOW,20,Z1
DATA,15198,6.16,23.84,79.5%,OPEN_SLOW,20,Z1
DATA,15457,6.07,23.93,79.8%,OPEN_SLOW,20,Z1
DATA,15715,6.15,23.85,79.5%,OPEN_SLOW,20,Z1
DATA,15973,6.17,23.83,79.4%,OPEN_SLOW,20,Z1
DATA,16232,6.03,23.97,79.9%,OPEN_SLOW,20,Z1
DATA,16490,6.04,23.96,79.9%,OPEN_SLOW,20,Z1
DATA,16748,6.20,23.80,79.3%,OPEN_SLOW,20,Z1
DATA,17007,6.42,23.58,78.6%,OPEN_SLOW,20,Z1
DATA,17265,6.94,23.06,76.9%,OPEN_SLOW,20,Z1
DATA,17523,6.94,23.06,76.9%,OPEN_SLOW,20,Z1
DATA,17781,6.96,23.04,76.8%,OPEN_SLOW,20,Z1
DATA,18040,7.02,22.98,76.6%,OPEN_SLOW,20,Z1
DATA,18298,7.03,22.97,76.6%,OPEN_SLOW,20,Z1
DATA,18556,7.06,22.94,76.5%,OPEN_SLOW,20,Z1
DATA,18815,7.07,22.93,76.4%,OPEN_SLOW,20,Z1
DATA,19073,7.08,22.92,76.4%,OPEN_SLOW,20,Z1
DATA,19331,7.05,22.95,76.5%,OPEN_SLOW,20,Z1
DATA,19590,7.05,22.95,76.5%,OPEN_SLOW,20,Z1
DATA,19848,7.09,22.91,76.4%,OPEN_SLOW,20,Z1
