                                                                =
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 8
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.01,29.99,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,734,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,993,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,1251,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,1509,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,1768,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,2026,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,2284,0.01,29.99,100.0%,OPEN_SLOW,20,Z1
DATA,2543,0.66,29.34,97.8%,OPEN_SLOW,20,Z1
DATA,2801,0.90,29.10,97.0%,OPEN_SLOW,20,Z1
DATA,3059,0.90,29.10,97.0%,OPEN_SLOW,20,Z1
DATA,3318,0.91,29.09,97.0%,OPEN_SLOW,20,Z1
DATA,3576,0.90,29.10,97.0%,OPEN_SLOW,20,Z1
DATA,3834,0.94,29.06,96.9%,OPEN_SLOW,20,Z1
DATA,4093,0.91,29.09,97.0%,OPEN_SLOW,20,Z1
DATA,4351,0.95,29.05,96.8%,OPEN_SLOW,20,Z1
DATA,4609,0.97,29.03,96.8%,OPEN_SLOW,20,Z1
DATA,4867,0.94,29.06,96.9%,OPEN_SLOW,20,Z1
DATA,5126,0.97,29.03,96.8%,OPEN_SLOW,20,Z1
DATA,5384,0.99,29.01,96.7%,OPEN_SLOW,20,Z1
DATA,5642,1.01,28.99,96.6%,OPEN_SLOW,20,Z1
DATA,5901,0.99,29.01,96.7%,OPEN_SLOW,20,Z1
BRIDGING #1 @0.95g hammer
DATA,6159,0.95,29.05,96.8%,OPEN_SLOW,20,Z1
DATA,6418,0.96,29.04,96.8%,OPEN_SLOW,20,Z1
DATA,6676,1.05,28.95,96.5%,OPEN_SLOW,20,Z1
DATA,6934,1.04,28.96,96.5%,OPEN_SLOW,20,Z1
DATA,7192,1.96,28.04,93.5%,OPEN_SLOW,20,Z1
DATA,7450,4.30,25.70,85.7%,OPEN_SLOW,20,Z1
DATA,7709,4.12,25.88,86.3%,OPEN_SLOW,20,Z1
DATA,7967,4.19,25.81,86.0%,OPEN_SLOW,20,Z1
DATA,8225,4.15,25.85,86.2%,OPEN_SLOW,20,Z1
DATA,8484,4.28,25.72,85.7%,OPEN_SLOW,20,Z1
DATA,8742,4.18,25.82,86.1%,OPEN_SLOW,20,Z1
DATA,9000,4.60,25.40,84.7%,OPEN_SLOW,20,Z1
DATA,9258,4.81,25.19,84.0%,OPEN_SLOW,20,Z1
DATA,9517,4.77,25.23,84.1%,OPEN_SLOW,20,Z1
DATA,9775,4.78,25.22,84.1%,OPEN_SLOW,20,Z1
DATA,10033,4.71,25.29,84.3%,OPEN_SLOW,20,Z1
DATA,10292,4.77,25.23,84.1%,OPEN_SLOW,20,Z1
DATA,10550,4.72,25.28,84.3%,OPEN_SLOW,20,Z1
DATA,10808,5.34,24.66,82.2%,OPEN_SLOW,20,Z1
DATA,11067,6.01,23.99,80.0%,OPEN_SLOW,20,Z1
DATA,11325,5.91,24.09,80.3%,OPEN_SLOW,20,Z1
DATA,11583,5.85,24.15,80.5%,OPEN_SLOW,20,Z1
DATA,11842,5.76,24.24,80.8%,OPEN_SLOW,20,Z1
DATA,12100,5.80,24.20,80.7%,OPEN_SLOW,20,Z1
DATA,12358,5.85,24.15,80.5%,OPEN_SLOW,20,Z1
DATA,12617,5.75,24.25,80.8%,OPEN_SLOW,20,Z1
DATA,12875,6.28,23.72,79.1%,OPEN_SLOW,20,Z1
DATA,13133,6.45,23.55,78.5%,OPEN_SLOW,20,Z1
DATA,13392,6.44,23.56,78.5%,OPEN_SLOW,20,Z1
DATA,13650,6.50,23.50,78.3%,OPEN_SLOW,20,Z1
DATA,13908,6.48,23.52,78.4%,OPEN_SLOW,20,Z1
DATA,14167,6.46,23.54,78.5%,OPEN_SLOW,20,Z1
DATA,14425,6.41,23.59,78.6%,OPEN_SLOW,20,Z1
DATA,14683,6.45,23.55,78.5%,OPEN_SLOW,20,Z1
DATA,14942,6.66,23.34,77.8%,OPEN_SLOW,20,Z1
DATA,15200,6.75,23.25,77.5%,OPEN_SLOW,20,Z1
DATA,15458,6.78,23.22,77.4%,OPEN_SLOW,20,Z1
DATA,15717,6.75,23.25,77.5%,OPEN_SLOW,20,Z1
DATA,15975,6.75,23.25,77.5%,OPEN_SLOW,20,Z1
DATA,16233,6.76,23.24,77.5%,OPEN_SLOW,20,Z1
DATA,16492,6.72,23.28,77.6%,OPEN_SLOW,20,Z1
DATA,16750,6.70,23.30,77.7%,OPEN_SLOW,20,Z1
DATA,17008,6.70,23.30,77.7%,OPEN_SLOW,20,Z1
DATA,17266,6.81,23.19,77.3%,OPEN_SLOW,20,Z1
DATA,17525,6.84,23.16,77.2%,OPEN_SLOW,20,Z1
DATA,17783,6.79,23.21,77.4%,OPEN_SLOW,20,Z1
DATA,18041,6.86,23.14,77.1%,OPEN_SLOW,20,Z1
DATA,18300,6.81,23.19,77.3%,OPEN_SLOW,20,Z1
BRIDGING #2 @6.80g hammer
DATA,18558,6.80,23.20,77.3%,OPEN_SLOW,20,Z1
DATA,18817,6.83,23.17,77.2%,OPEN_SLOW,20,Z1
DATA,19075,6.80,23.20,77.3%,OPEN_SLOW,20,Z1
DATA,19333,6.82,23.18,77.3%,OPEN_SLOW,20,Z1
DATA,19591,7.70,22.30,74.3%,OPEN_SLOW,20,Z1
DATA,19849,9.78,20.22,67.4%,OPEN_SLOW,20,Z1
