======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 9
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,734,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,993,0.01,29.99,100.0%,OPEN_SLOW,20,Z1
DATA,1251,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,1509,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,1768,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,2026,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,2284,0.02,29.98,99.9%,OPEN_SLOW,20,Z1
DATA,2543,0.49,29.51,98.4%,OPEN_SLOW,20,Z1
DATA,2801,0.66,29.34,97.8%,OPEN_SLOW,20,Z1
DATA,3059,0.67,29.33,97.8%,OPEN_SLOW,20,Z1
DATA,3317,0.62,29.38,97.9%,OPEN_SLOW,20,Z1
DATA,3576,0.66,29.34,97.8%,OPEN_SLOW,20,Z1
DATA,3834,0.66,29.34,97.8%,OPEN_SLOW,20,Z1
DATA,4092,0.67,29.33,97.8%,OPEN_SLOW,20,Z1
DATA,4351,0.62,29.38,97.9%,OPEN_SLOW,20,Z1
DATA,4609,0.73,29.27,97.6%,OPEN_SLOW,20,Z1
DATA,4867,0.73,29.27,97.6%,OPEN_SLOW,20,Z1
DATA,5126,0.75,29.25,97.5%,OPEN_SLOW,20,Z1
DATA,5384,0.75,29.25,97.5%,OPEN_SLOW,20,Z1
DATA,5642,0.74,29.26,97.5%,OPEN_SLOW,20,Z1
DATA,5901,0.73,29.27,97.6%,OPEN_SLOW,20,Z1
BRIDGING #1 @0.78g hammer
DATA,6159,0.78,29.22,97.4%,OPEN_SLOW,20,Z1
DATA,6418,0.77,29.23,97.4%,OPEN_SLOW,20,Z1
DATA,6675,0.77,29.23,97.4%,OPEN_SLOW,20,Z1
DATA,6934,0.76,29.24,97.5%,OPEN_SLOW,20,Z1
DATA,7192,1.85,28.15,93.8%,OPEN_SLOW,20,Z1
DATA,7450,4.77,25.23,84.1%,OPEN_SLOW,20,Z1
DATA,7708,7.98,22.02,73.4%,OPEN_SLOW,20,Z1
DATA,7967,11.78,18.22,60.7%,OPEN_SLOW,20,Z1
DATA,8225,13.34,16.66,55.5%,OPEN_SLOW,20,Z1
DATA,8483,13.28,16.72,55.7%,OPEN_SLOW,20,Z1
DATA,8742,13.23,16.77,55.9%,OPEN_SLOW,20,Z1
DATA,9000,13.38,16.62,55.4%,OPEN_SLOW,20,Z1
DATA,9258,13.39,16.61,55.4%,OPEN_SLOW,20,Z1
DATA,9516,13.41,16.59,55.3%,OPEN_SLOW,20,Z1
DATA,9775,13.39,16.61,55.4%,OPEN_SLOW,20,Z1
DATA,10033,13.43,16.57,55.2%,OPEN_SLOW,20,Z1
DATA,10291,13.40,16.60,55.3%,OPEN_SLOW,20,Z1
DATA,10550,13.44,16.56,55.2%,OPEN_SLOW,20,Z1
DATA,10808,14.05,15.95,53.2%,OPEN_SLOW,20,Z1
DATA,11066,14.76,15.24,50.8%,OPEN_SLOW,20,Z1
DATA,11325,14.73,15.27,50.9%,OPEN_SLOW,20,Z1
DATA,11583,14.87,15.13,50.4%,OPEN_SLOW,20,Z1
DATA,11841,14.96,15.04,50.1%,OPEN_SLOW,20,Z1
DATA,12100,14.93,15.07,50.2%,OPEN_SLOW,20,Z1
DATA,12358,14.93,15.07,50.2%,OPEN_SLOW,20,Z1
DATA,12616,14.95,15.05,50.2%,OPEN_SLOW,20,Z1
DATA,12874,15.64,14.36,47.9%,OPEN_SLOW,20,Z2
DATA,13133,16.13,13.87,46.2%,OPEN_SLOW,20,Z2
DATA,13391,16.20,13.80,46.0%,OPEN_SLOW,20,Z2
DATA,13649,16.41,13.59,45.3%,OPEN_SLOW,20,Z2
DATA,13908,16.42,13.58,45.3%,OPEN_SLOW,20,Z2
DATA,14166,16.40,13.60,45.3%,OPEN_SLOW,20,Z2
DATA,14424,16.35,13.65,45.5%,OPEN_SLOW,20,Z2
DATA,14683,16.38,13.62,45.4%,OPEN_SLOW,20,Z2
DATA,14941,16.49,13.51,45.0%,OPEN_SLOW,20,Z2
DATA,15199,16.69,13.31,44.4%,OPEN_SLOW,20,Z2
DATA,15457,16.72,13.28,44.3%,OPEN_SLOW,20,Z2
DATA,15716,16.63,13.37,44.6%,OPEN_SLOW,20,Z2
DATA,15974,16.62,13.38,44.6%,OPEN_SLOW,20,Z2
DATA,16232,16.78,13.22,44.1%,OPEN_SLOW,20,Z2
DATA,16491,16.76,13.24,44.1%,OPEN_SLOW,20,Z2
DATA,16749,16.73,13.27,44.2%,OPEN_SLOW,20,Z2
DATA,17007,16.86,13.14,43.8%,OPEN_SLOW,20,Z2
DATA,17266,17.15,12.85,42.8%,OPEN_SLOW,20,Z2
DATA,17524,17.19,12.81,42.7%,OPEN_SLOW,20,Z2
DATA,17782,17.16,12.84,42.8%,OPEN_SLOW,20,Z2
DATA,18040,17.13,12.87,42.9%,OPEN_SLOW,20,Z2
DATA,18299,17.18,12.82,42.7%,OPEN_SLOW,20,Z2
BRIDGING #2 @17.15g hammer
DATA,18557,17.15,12.85,42.8%,OPEN_SLOW,20,Z2
DATA,18816,17.13,12.87,42.9%,OPEN_SLOW,20,Z2
DATA,19074,17.14,12.86,42.9%,OPEN_SLOW,20,Z2
DATA,19332,17.15,12.85,42.8%,OPEN_SLOW,20,Z2
DATA,19590,18.35,11.65,38.8%,OPEN_SLOW,20,Z2
DATA,19848,19.24,10.76,35.9%,OPEN_SLOW,20,Z2
DATA,20107,19.13,10.87,36.2%,OPEN_SLOW,20,Z2
DATA,20365,19.18,10.82,36.1%,OPEN_SLOW,20,Z2
DATA,20623,19.17,10.83,36.1%,OPEN_SLOW,20,Z2
DATA,20881,19.18,10.82,36.1%,OPEN_SLOW,20,Z2
DATA,21140,19.16,10.84,36.1%,OPEN_SLOW,20,Z2
DATA,21398,19.30,10.70,35.7%,OPEN_SLOW,20,Z2
DATA,21656,19.26,10.74,35.8%,OPEN_SLOW,20,Z2
DATA,21915,19.26,10.74,35.8%,OPEN_SLOW,20,Z2
DATA,22173,19.27,10.73,35.8%,OPEN_SLOW,20,Z2
DATA,22431,19.28,10.72,35.7%,OPEN_SLOW,20,Z2
DATA,22689,19.26,10.74,35.8%,OPEN_SLOW,20,Z2
DATA,22948,19.23,10.77,35.9%,OPEN_SLOW,20,Z2
DATA,23206,19.33,10.67,35.6%,OPEN_SLOW,20,Z2
DATA,23464,19.47,10.53,35.1%,OPEN_SLOW,20,Z2
DATA,23723,19.48,10.52,35.1%,OPEN_SLOW,20,Z2
DATA,23981,19.50,10.50,35.0%,OPEN_SLOW,20,Z2
DATA,24239,19.48,10.52,35.1%,OPEN_SLOW,20,Z2
DATA,24498,19.45,10.55,35.2%,OPEN_SLOW,20,Z2
BRIDGING #3 @19.47g hammer
DATA,24756,19.47,10.53,35.1%,OPEN_SLOW,20,Z2
DATA,25014,19.48,10.52,35.1%,OPEN_SLOW,20,Z2
DATA,25272,19.50,10.50,35.0%,OPEN_SLOW,20,Z2
DATA,25531,19.47,10.53,35.1%,OPEN_SLOW,20,Z2
DATA,25789,19.50,10.50,35.0%,OPEN_SLOW,20,Z2
DATA,26047,19.53,10.47,34.9%,OPEN_SLOW,20,Z2
DATA,26305,19.58,10.42,34.7%,OPEN_SLOW,20,Z2
DATA,26564,19.55,10.45,34.8%,OPEN_SLOW,20,Z2
DATA,26822,19.57,10.43,34.8%,OPEN_SLOW,20,Z2
DATA,27080,19.59,10.41,34.7%,OPEN_SLOW,20,Z2
DATA,27339,19.54,10.46,34.9%,OPEN_SLOW,20,Z2
DATA,27597,19.52,10.48,34.9%,OPEN_SLOW,20,Z2
BRIDGING #4 @19.54g hammer
DATA,27855,19.54,10.46,34.9%,OPEN_SLOW,20,Z2
DATA,28114,19.55,10.45,34.8%,OPEN_SLOW,20,Z2
DATA,28371,19.57,10.43,34.8%,OPEN_SLOW,20,Z2
DATA,28630,19.55,10.45,34.8%,OPEN_SLOW,20,Z2
DATA,28888,19.67,10.33,34.4%,OPEN_SLOW,20,Z2
DATA,29146,19.97,10.03,33.4%,OPEN_SLOW,20,Z2
DATA,29404,19.91,10.09,33.6%,OPEN_SLOW,20,Z2
DATA,29663,19.96,10.04,33.5%,OPEN_SLOW,20,Z2
DATA,29921,19.92,10.08,33.6%,OPEN_SLOW,20,Z2
DATA,30179,19.92,10.08,33.6%,OPEN_SLOW,20,Z2
DATA,30438,19.95,10.05,33.5%,OPEN_SLOW,20,Z2
DATA,30696,19.89,10.11,33.7%,OPEN_SLOW,20,Z2
BRIDGING #5 @19.93g hammer
DATA,30954,19.93,10.07,33.6%,PEN_SLOW,20,Z2
DATA,31213,19.95,10.05,33.5%,OPEN_SLOW,20,Z2
DATA,31471,19.89,10.11,33.7%,OPEN_SLOW,20,Z2
DATA,31729,19.89,10.11,33.7%,OPEN_SLOW,20,Z2
DATA,31987,20.13,9.87,32.9%,OPEN_SLOW,20,Z2
DATA,32245,20.54,9.46,31.5%,OPEN_SLOW,20,Z2
DATA,32504,20.61,9.39,31.3%,OPEN_SLOW,20,Z2
DATA,32762,20.62,9.38,31.3%,OPEN_SLOW,20,Z2
DATA,33020,20.58,9.42,31.4%,OPEN_SLOW,20,Z2
DATA,33278,20.59,9.41,31.4%,OPEN_SLOW,20,Z2
DATA,33537,20.55,9.45,31.5%,OPEN_SLOW,20,Z2
DATA,33795,20.57,9.43,31.4%,OPEN_SLOW,20,Z2
DATA,34053,20.57,9.43,31.4%,OPEN_SLOW,20,Z2
DATA,34311,20.55,9.45,31.5%,OPEN_SLOW,20,Z2
DATA,34570,20.55,9.45,31.5%,OPEN_SLOW,20,Z2
DATA,34828,20.56,9.44,31.5%,OPEN_SLOW,20,Z2
DATA,35086,20.53,9.47,31.6%,OPEN_SLOW,20,Z2
DATA,35345,20.50,9.50,31.7%,OPEN_SLOW,20,Z2
DATA,35603,20.48,9.52,31.7%,OPEN_SLOW,20,Z2
DATA,35861,20.48,9.52,31.7%,OPEN_SLOW,20,Z2
DATA,36120,20.52,9.48,31.6%,OPEN_SLOW,20,Z2
DATA,36378,20.50,9.50,31.7%,OPEN_SLOW,20,Z2
DATA,36636,20.55,9.45,31.5%,OPEN_SLOW,20,Z2
DATA,36894,20.55,9.45,31.5%,OPEN_SLOW,20,Z2
BRIDGING #6 @20.48g hammer
DATA,37153,20.48,9.52,31.7%,OPEN_SLOW,20,Z2
DATA,37411,20.55,9.45,31.5%,OPEN_SLOW,20,Z2
DATA,37669,20.51,9.49,31.6%,OPEN_SLOW,20,Z2
DATA,37928,20.60,9.40,31.3%,OPEN_SLOW,20,Z2
DATA,38186,20.74,9.26,30.9%,OPEN_SLOW,20,Z2
DATA,38444,20.91,9.09,30.3%,OPEN_SLOW,20,Z2
DATA,38702,20.93,9.07,30.2%,OPEN_SLOW,20,Z2
DATA,38961,20.91,9.09,30.3%,OPEN_SLOW,20,Z2
DATA,39219,20.93,9.07,30.2%,OPEN_SLOW,20,Z2
DATA,39477,20.92,9.08,30.3%,OPEN_SLOW,20,Z2
DATA,39735,20.89,9.11,30.4%,OPEN_SLOW,20,Z2
DATA,39994,22.06,7.94,26.5%,OPEN_SLOW,20,Z2
DATA,40252,22.26,7.74,25.8%,OPEN_SLOW,20,Z2
DATA,40510,22.26,7.74,25.8%,OPEN_SLOW,20,Z2
DATA,40768,22.25,7.75,25.8%,OPEN_SLOW,20,Z2
DATA,41027,22.23,7.77,25.9%,OPEN_SLOW,20,Z2
DATA,41285,22.22,7.78,25.9%,OPEN_SLOW,20,Z2
DATA,41543,22.25,7.75,25.8%,OPEN_SLOW,20,Z2
DATA,41802,22.23,7.77,25.9%,OPEN_SLOW,20,Z2
DATA,42060,22.26,7.74,25.8%,OPEN_SLOW,20,Z2
DATA,42318,22.26,7.74,25.8%,OPEN_SLOW,20,Z2
DATA,42577,22.22,7.78,25.9%,OPEN_SLOW,20,Z2
DATA,42835,22.21,7.79,26.0%,OPEN_SLOW,20,Z2
DATA,43093,22.23,7.77,25.9%,OPEN_SLOW,20,Z2
BRIDGING #7 @22.29g hammer
DATA,43352,22.29,7.71,25.7%,OPEN_SLOW,20,Z2
DATA,43610,22.29,7.71,25.7%,OPEN_SLOW,20,Z2
DATA,43868,22.28,7.72,25.7%,OPEN_SLOW,20,Z2
DATA,44126,22.21,7.79,26.0%,OPEN_SLOW,20,Z2
DATA,44384,22.82,7.18,23.9%,OPEN_SLOW,20,Z2
DATA,44643,24.43,5.57,18.6%,OPEN_SLOW,20,Z2
DATA,44901,24.76,5.24,17.5%,OPEN_SLOW,20,Z2
DATA,45159,24.65,5.35,17.8%,OPEN_SLOW,20,Z2
DATA,45418,24.67,5.33,17.8%,OPEN_SLOW,20,Z2
DATA,45676,24.69,5.31,17.7%,OPEN_SLOW,20,Z2
DATA,45934,24.70,5.30,17.7%,OPEN_SLOW,20,Z2
DATA,46192,24.68,5.32,17.7%,OPEN_SLOW,20,Z2
DATA,46451,24.69,5.31,17.7%,OPEN_SLOW,20,Z2
DATA,46709,24.67,5.33,17.8%,OPEN_SLOW,20,Z2
DATA,46967,24.70,5.30,17.7%,OPEN_SLOW,20,Z2
DATA,47226,24.65,5.35,17.8%,OPEN_SLOW,20,Z2
DATA,47484,24.68,5.32,17.7%,OPEN_SLOW,20,Z2
DATA,47742,24.69,5.31,17.7%,OPEN_SLOW,20,Z2
DATA,48000,24.92,5.08,16.9%,OPEN_SLOW,20,Z2
DATA,48259,24.98,5.02,16.7%,OPEN_SLOW,20,Z2
DATA,48517,25.64,4.36,14.5%,OPEN_SLOW,20,Z3
DATA,48775,25.91,4.09,13.6%,OPEN_SLOW,20,Z3
DATA,49034,25.83,4.17,13.9%,OPEN_SLOW,20,Z3
DATA,49292,25.86,4.14,13.8%,OPEN_SLOW,20,Z3
DATA,49550,25.84,4.16,13.9%,OPEN_SLOW,20,Z3
DATA,49809,25.84,4.16,13.9%,OPEN_SLOW,20,Z3
DATA,50067,25.87,4.13,13.8%,OPEN_SLOW,20,Z3
DATA,50325,25.85,4.15,13.8%,OPEN_SLOW,20,Z3
DATA,50583,25.87,4.13,13.8%,OPEN_SLOW,20,Z3
DATA,50842,25.86,4.14,13.8%,OPEN_SLOW,20,Z3
DATA,51100,25.88,4.12,13.7%,OPEN_SLOW,20,Z3
DATA,51358,25.86,4.14,13.8%,OPEN_SLOW,20,Z3
DATA,51617,25.87,4.13,13.8%,OPEN_SLOW,20,Z3
DATA,51875,25.80,4.20,14.0%,OPEN_SLOW,20,Z3
DATA,52133,25.79,4.21,14.0%,OPEN_SLOW,20,Z3
DATA,52392,25.76,4.24,14.1%,OPEN_SLOW,20,Z3
BRIDGING #8 @25.81g hammer
DATA,52650,25.81,4.19,14.0%,OPEN_SLOW,20,Z3
DATA,52908,25.91,4.09,13.6%,OPEN_SLOW,20,Z3
DATA,53166,25.97,4.03,13.4%,OPEN_SLOW,20,Z3
DATA,53425,25.97,4.03,13.4%,OPEN_SLOW,20,Z3
DATA,53683,26.91,3.09,10.3%,OPEN_SLOW,20,Z3
DATA,53941,29.12,0.88,2.9%,OPEN_SLOW,20,Z3
DATA,54199,29.15,0.85,2.8%,OPEN_SLOW,20,Z3
DATA,54458,29.20,0.80,2.7%,OPEN_SLOW,20,Z3
DATA,54716,29.18,0.82,2.7%,OPEN_SLOW,20,Z3
DATA,54974,29.15,0.85,2.8%,OPEN_SLOW,20,Z3
DATA,55233,29.12,0.88,2.9%,OPEN_SLOW,20,Z3
DATA,55491,29.28,0.72,2.4%,OPEN_SLOW,20,Z3
=== SUMMARY TRIAL ===
Controller: Manual Presisi
TrialNo: 9
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
FinalMass_g: 29.65
FinalError_g: -0.35
FinalError_pct: -1.16
Duration_ms: 56007
Duration_s: 56.01
TimeTo90_ms: 53941
RiseTime_10_90_ms: 46491
SettlingTime_ms: 53941
MaxMass_g: 29.71
MaxOvershoot_g: 0.00
MaxOvershoot_pct: 0.00
BridgingCount: 8
Status: AKURAT
Valid: TRUE
StopReason: TARGET
=== TRIAL END ===
r=reset | g=ulangi | c=parameter
