FileName,ControllerFolder,SetpointFolder,EarlyStopFolder,ParseStatus,QC_Flags,Controller,Setpoint_g,EarlyStop_g,StopTarget_g,FinalMass_g,FinalError_g,FinalError_pct,Duration_ms,Duration_s,TimeTo90_ms,RiseTime_10_90_ms,TimeToTolerance_ms,SettlingTime_ms,SettlingTol_pct,SettlingTol_g,MaxMass_g,MaxOvershoot_g,MaxOvershoot_pct,BridgingCount,Status,Valid,StopReason,ZonaHit_Z1,ZonaHit_Z2,ZonaHit_Z3
Fixed_0.2_SP15_trial01.txt,Fixed_PID,15 gram,ES_0_2,SUCCESS,,Fixed PID,15.0,0.2,14.8,15.69,0.69,4.6,51248.0,51.25,26034.0,21427.0,33263.0,33263.0,5.0,0.75,15.69,0.69,4.6,2.0,AKURAT,True,TIMEOUT,,,
Fixed_0.2_SP15_trial02.txt,Fixed_PID,15 gram,ES_0_2,SUCCESS,,Fixed PID,15.0,0.2,14.8,14.04,-0.96,-6.43,51244.0,51.24,34551.0,33817.0,-1.0,-1.0,5.0,0.75,14.04,0.0,0.0,1.0,UNDERSHOOT,True,TIMEOUT,,,
Fixed_0.2_SP15_trial03.txt,Fixed_PID,15 gram,ES_0_2,SUCCESS,,Fixed PID,15.0,0.2,14.8,15.55,0.55,3.64,16652.0,16.65,13642.0,11101.0,13642.0,13642.0,5.0,0.75,15.55,0.55,3.64,1.0,AKURAT,True,TARGET,,,
Fixed_ES0.2_SP20_trial01.txt,Fixed_PID,20 gram,ES_0_2,SUCCESS,,Fixed PID,20.0,0.2,19.8,20.16,0.16,0.79,22852.0,22.85,19066.0,18332.0,19324.0,19324.0,5.0,1.0,20.68,0.68,3.38,0.0,AKURAT,True,TARGET,,,
Fixed_ES0.2_SP20_trial02.txt,Fixed_PID,20 gram,ES_0_2,SUCCESS,,Fixed PID,20.0,0.2,19.8,20.6,0.6,2.98,26724.0,26.72,21131.0,18590.0,23197.0,23197.0,5.0,1.0,20.6,0.6,2.98,0.0,AKURAT,True,TARGET,,,
Fixed_ES0.2_SP20_trial03.txt,Fixed_PID,20 gram,ES_0_2,SUCCESS,,Fixed PID,20.0,0.2,19.8,19.95,-0.05,-0.27,49445.0,49.45,19066.0,16524.0,21131.0,21131.0,5.0,1.0,19.95,0.0,0.0,0.0,AKURAT,True,TARGET,,,
Fixed_0.2_SP25_trial01.txt,Fixed_PID,25 gram,ES_0_2,SUCCESS,,Fixed PID,25.0,0.2,24.8,21.78,-3.22,-12.86,51250.0,51.25,46431.0,43890.0,-1.0,-1.0,5.0,1.25,22.57,0.0,0.0,8.0,UNDERSHOOT,True,TIMEOUT,,,
Fixed_0.2_SP25_trial02.txt,Fixed_PID,25 gram,ES_0_2,SUCCESS,,Fixed PID,25.0,0.2,24.8,23.89,-1.11,-4.46,51253.0,51.25,37655.0,36921.0,46434.0,46434.0,5.0,1.25,23.89,0.0,0.0,4.0,AKURAT,True,TIMEOUT,,,
Fixed_0.2_SP25_trial03.txt,Fixed_PID,25 gram,ES_0_2,SUCCESS,,Fixed PID,25.0,0.2,24.8,25.67,0.67,2.69,20778.0,20.78,16994.0,14454.0,19058.0,19058.0,5.0,1.25,25.67,0.67,2.69,0.0,AKURAT,True,TARGET,,,
Fixed_0.2_SP30_trial01.txt,Fixed_PID,30 gram,ES_0_2,SUCCESS,,Fixed PID,30.0,0.2,29.8,27.37,-2.63,-8.78,51250.0,51.25,49272.0,48538.0,-1.0,-1.0,5.0,1.5,27.66,0.0,0.0,6.0,UNDERSHOOT,True,TIMEOUT,,,
Fixed_0.2_SP30_trial02.txt,Fixed_PID,30 gram,ES_0_2,SUCCESS,,Fixed PID,30.0,0.2,29.8,29.92,-0.08,-0.26,37567.0,37.57,31716.0,29175.0,35589.0,35589.0,5.0,1.5,29.92,0.0,0.0,4.0,AKURAT,True,TARGET,,,
Fixed_0.2_SP30_trial03.txt,Fixed_PID,30 gram,ES_0_2,SUCCESS,,Fixed PID,30.0,0.2,29.8,26.69,-3.31,-11.03,51252.0,51.25,-1.0,-1.0,-1.0,-1.0,5.0,1.5,26.69,0.0,0.0,6.0,UNDERSHOOT,True,TIMEOUT,,,
Fixed_0.3_SP15_trial01.txt,Fixed_PID,15 gram,ES_0_3,SUCCESS,,Fixed PID,15.0,0.3,14.7,15.12,0.12,0.8,43243.0,43.24,38425.0,35884.0,38425.0,39973.0,5.0,0.75,15.14,0.14,0.92,5.0,AKURAT,True,TARGET,,,
Fixed_0.3_SP15_trial02.txt,Fixed_PID,15 gram,ES_0_3,SUCCESS,,Fixed PID,15.0,0.3,14.7,14.37,-0.63,-4.17,48146.0,48.15,34034.0,33300.0,45909.0,46684.0,5.0,0.75,14.73,0.0,0.0,2.0,AKURAT,True,TARGET,,,
