Controller,EarlyStop_g,Setpoint_g,n_valid,mean_FinalError_g,mean_AbsError_g,MAE_pct,SD_error_g,mean_Overshoot_g,max_Overshoot_g,mean_Overshoot_pct,mean_Duration_s,mean_TimeTo90_ms,mean_SettlingTime_ms,mean_BridgingCount,count_AKURAT,count_OVERSHOOT,count_invalid
Fixed PID,0.200,15.000,3,0.093,0.733,4.889,0.915,0.413,0.690,2.747,39.713,24742.333,15634.667,1.333,2,0,0
Fixed PID,0.200,20.000,3,0.237,0.270,1.350,0.332,0.427,0.680,2.120,33.007,19754.333,21217.333,0.000,3,0,0
Fixed PID,0.200,25.000,3,-1.220,1.667,6.667,1.947,0.223,0.670,0.897,41.093,33693.333,21830.333,4.000,2,0,0
Fixed PID,0.200,30.000,3,-2.007,2.007,6.689,1.703,0.000,0.000,0.000,46.690,26995.667,11862.333,5.333,1,0,0
Fixed PID,0.300,15.000,3,-0.353,0.433,2.889,0.412,0.047,0.140,0.307,42.123,33950.000,39973.667,3.000,3,0,0
Fixed PID,0.300,20.000,3,0.673,0.853,4.267,1.303,0.763,2.160,3.830,32.403,27929.333,18906.333,2.333,2,1,0
Fixed PID,0.300,25.000,3,0.397,0.397,1.587,0.394,0.397,0.820,1.583,38.857,32747.000,34812.000,2.333,3,0,0
Fixed PID,0.300,30.000,3,1.080,3.100,10.333,4.506,2.090,6.270,6.970,46.430,30683.000,16337.000,1.667,1,1,0
Fixed PID,0.400,15.000,3,1.210,1.877,12.511,2.979,1.543,4.630,10.283,28.613,21040.000,11169.333,1.000,1,1,0
Fixed PID,0.400,20.000,3,0.033,0.473,2.367,0.637,0.253,0.760,1.263,21.990,17860.333,19495.667,1.000,3,0,0
Fixed PID,0.400,25.000,3,1.220,2.387,9.547,3.711,1.803,5.380,7.220,45.563,38939.000,11257.667,3.667,1,1,0
Fixed PID,0.400,30.000,3,1.363,1.517,5.056,2.430,1.440,4.160,4.797,27.153,23625.000,15721.667,1.000,2,1,0
Gain Scheduling PID,0.200,15.000,3,3.937,4.110,27.400,4.454,4.023,8.610,26.830,16.573,10116.000,7732.333,0.667,1,2,0
Gain Scheduling PID,0.200,20.000,3,0.463,0.463,2.317,0.586,0.483,1.140,2.417,19.410,14849.000,11677.333,1.000,2,1,0
Gain Scheduling PID,0.200,25.000,3,-0.953,0.953,3.813,1.400,0.007,0.020,0.023,30.327,17337.667,12017.000,0.667,2,0,0
Gain Scheduling PID,0.200,30.000,3,-0.073,0.420,1.400,0.600,0.173,0.520,0.573,26.110,16992.667,20777.333,0.667,3,0,0
Gain Scheduling PID,0.300,15.000,3,0.027,0.487,3.244,0.654,0.257,0.770,1.720,15.787,6926.000,10468.000,0.000,2,1,0
Gain Scheduling PID,0.300,20.000,3,1.447,1.527,7.633,1.921,1.533,3.590,7.673,24.313,15882.000,11763.667,1.667,2,1,0
Gain Scheduling PID,0.300,25.000,3,0.530,1.803,7.213,2.124,1.310,2.390,5.247,29.380,16216.667,-1.000,0.667,0,2,0
Gain Scheduling PID,0.300,30.000,3,2.567,2.567,8.556,2.189,2.567,4.340,8.550,21.207,17678.333,4974.667,1.333,1,2,0
Gain Scheduling PID,0.400,15.000,3,2.343,2.403,16.022,3.018,2.373,5.720,15.817,17.003,14246.333,6355.000,1.000,1,2,0
Gain Scheduling PID,0.400,20.000,3,0.017,0.297,1.483,0.417,0.197,0.410,0.973,17.257,12954.333,15106.000,0.333,3,0,0
Gain Scheduling PID,0.400,25.000,3,0.257,0.730,2.920,1.060,0.493,1.480,1.973,21.470,16652.333,14170.667,1.000,2,1,0
Gain Scheduling PID,0.400,30.000,3,0.120,0.620,2.067,0.864,0.370,1.110,1.237,26.193,16474.667,21894.333,0.667,3,0,0
