Scenario,Setpoint_g,TrialNo,LogPath,Column,LogValue,DatasetValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,FinalMass_g,14.89,14.89,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,FinalError_g,-0.10999999999999943,-0.11,5.689893001203927e-16,0.01,MATCH,Within tolerance
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,AbsError_pct,0.7333333333333295,0.73,0.0033333333333295245,0.01,MATCH,Within tolerance
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,Duration_s,33.18,33.18,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,RiseTime_10_90_s,21.172,21.172,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,SettlingTime_s,,31.718,,0.01,MISMATCH,One is NaN
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial02.txt,FinalMass_g,14.54,14.54,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial02.txt,FinalError_g,-0.46000000000000085,-0.46,8.326672684688674e-16,0.01,MATCH,Within tolerance
Fixed PID,15.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial02.txt,AbsError_pct,3.066666666666672,3.07,0.003333333333327637,0.01,MATCH,Within tolerance
Fixed PID,15.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial02.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial02.txt,Duration_s,15.881,15.88,0.0009999999999994458,0.01,MATCH,Within tolerance
