Scenario,Setpoint_g,TrialNo,FinalMass_g,FinalError_g,AbsError_pct,MaxOvershoot_pct,Duration_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,WithinTolerance,StopReason,LogPath
Fixed PID,15.0,1,14.89,-0.10999999999999943,0.7333333333333295,0.0,33.18,21.172,,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial01.txt
Fixed PID,15.0,2,14.54,-0.46000000000000085,3.066666666666672,0.0,15.881,11.102,13.902,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial02.txt
Fixed PID,15.0,3,14.75,-0.25,1.6666666666666667,0.0,26.981,20.654,25.261,3,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial03.txt
Fixed PID,15.0,4,14.84,-0.16000000000000014,1.0666666666666678,0.0,18.719,12.392,16.999,2,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt
Fixed PID,15.0,5,14.44,-0.5600000000000005,3.7333333333333365,0.0,15.105,10.328,13.127,0,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt
Fixed PID,15.0,6,16.82,1.8200000000000003,12.133333333333335,0.0,15.88,11.617,14.159,1,False,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt
Fixed PID,15.0,7,15.34,0.33999999999999986,2.2666666666666657,0.0,27.242,20.914,25.522,0,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt
Fixed PID,15.0,8,14.95,-0.05000000000000071,0.3333333333333381,0.0,24.66,11.102,,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt
Fixed PID,15.0,9,16.04,1.0399999999999991,6.933333333333327,0.0,16.656,8.52,14.935,0,False,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt
Fixed PID,15.0,10,19.28,4.280000000000001,28.53333333333334,0.0,15.106,,,1,False,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt
Fixed PID,20.0,1,19.03,-0.9699999999999989,4.849999999999994,0.0,22.941,16.526,21.65,0,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt
Fixed PID,20.0,2,19.82,-0.17999999999999972,0.8999999999999986,0.0,56.153,49.826,54.433,5,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt
Fixed PID,20.0,3,21.87,1.870000000000001,9.350000000000005,0.0,20.527,14.457,,0,False,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt
Fixed PID,20.0,4,20.23,0.23000000000000043,1.1500000000000021,0.0,31.117,23.24,,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt
