Scenario,Setpoint_g,TrialNo,Column,RegeneratedValue,CanonicalValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,15.0,1,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,TrialNo,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,FileName,Fixed PID_SP15_trial01.txt,Fixed PID_SP15_trial01.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,FinalMass_g,14.89,14.89,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,1,FinalError_g,-0.11,-0.11,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,1,FinalError_pct,-0.73,-0.73,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,1,AbsError_g,0.11,0.11,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,1,AbsError_pct,0.73,0.73,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,1,MaxOvershoot_g,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,1,MaxOvershoot_pct,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,1,Duration_s,33.18,33.18,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,1,TimeTo90_s,23.713,23.713,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,1,RiseTime_10_90_s,21.172,21.172,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,1,SettlingTime_s,31.718,31.718,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,1,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,Status,AKURAT,AKURAT,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,1,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,1,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,TrialNo,2,2,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,FileName,Fixed PID_SP15_trial02.txt,Fixed PID_SP15_trial02.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,FinalMass_g,14.54,14.54,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,2,FinalError_g,-0.46,-0.46,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,2,FinalError_pct,-3.07,-3.07,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,2,AbsError_g,0.46,0.46,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,2,AbsError_pct,3.07,3.07,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,2,MaxOvershoot_g,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,2,MaxOvershoot_pct,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,2,Duration_s,15.88,15.88,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,2,TimeTo90_s,13.902,13.902,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,2,RiseTime_10_90_s,11.102,11.102,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,2,SettlingTime_s,13.902,13.902,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,2,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,Status,AKURAT,AKURAT,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,2,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,2,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,3,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,3,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,3,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
