No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes,WithinTolerance
1,Fixed PID,Fixed PID,15.0,1,Fixed PID_SP15_trial01.txt,14.89,-0.11,-0.73,0.11,0.73,0.0,0.0,33.18,23.713,21.172,31.718,1,AKURAT,True,TARGET,0.4,,1
2,Fixed PID,Fixed PID,15.0,2,Fixed PID_SP15_trial02.txt,14.54,-0.46,-3.07,0.46,3.07,0.0,0.0,15.88,13.902,11.102,13.902,1,AKURAT,True,TARGET,0.4,,1
3,Fixed PID,Fixed PID,15.0,3,Fixed PID_SP15_trial03.txt,14.75,-0.25,-1.7,0.25,1.7,0.0,0.0,26.98,25.261,20.654,25.261,3,AKURAT,True,TARGET,0.4,,1
4,Fixed PID,Fixed PID,15.0,4,Fixed PID_SP15_trial04.txt,14.84,-0.16,-1.06,0.16,1.06,0.0,0.0,18.72,14.933,12.392,16.999,2,AKURAT,True,TARGET,0.4,,1
5,Fixed PID,Fixed PID,15.0,5,Fixed PID_SP15_trial05.txt,14.44,-0.56,-3.73,0.56,3.73,0.0,0.0,15.11,12.869,10.328,13.127,0,AKURAT,True,TARGET,0.4,,1
6,Fixed PID,Fixed PID,15.0,6,Fixed PID_SP15_trial06.txt,16.82,1.82,12.1,1.82,12.1,1.93,12.88,15.88,14.159,11.617,,1,OVERSHOOT,True,TARGET,0.4,,0
7,Fixed PID,Fixed PID,15.0,7,Fixed PID_SP15_trial07.txt,15.34,0.34,2.27,0.34,2.27,0.45,3.03,27.24,23.456,20.914,25.522,0,AKURAT,True,TARGET,0.4,,1
8,Fixed PID,Fixed PID,15.0,8,Fixed PID_SP15_trial08.txt,14.95,-0.05,-0.36,0.05,0.36,0.0,0.0,24.66,13.644,11.102,23.198,1,AKURAT,True,TARGET,0.4,,1
9,Fixed PID,Fixed PID,15.0,9,Fixed PID_SP15_trial09.txt,16.04,1.04,6.96,1.04,6.96,1.04,6.96,16.66,11.062,8.52,,0,OVERSHOOT,True,TARGET,0.4,,0
10,Fixed PID,Fixed PID,15.0,10,Fixed PID_SP15_trial10.txt,19.28,4.28,28.51,4.28,28.51,4.28,28.51,15.11,13.644,11.102,,1,OVERSHOOT,True,TARGET,0.4,,0
11,Fixed PID,Fixed PID,20.0,1,Fixed PID_SP20_trial01.txt,20.72,0.72,3.58,0.72,3.58,0.72,3.58,24.66,19.068,16.526,21.65,0,AKURAT,True,TARGET,0.4,,1
12,Fixed PID,Fixed PID,20.0,2,Fixed PID_SP20_trial02.txt,19.82,-0.18,-0.89,0.18,0.89,0.0,0.0,56.15,52.367,49.826,54.433,5,AKURAT,True,TARGET,0.4,,1
13,Fixed PID,Fixed PID,20.0,3,Fixed PID_SP20_trial03.txt,21.87,1.87,9.37,1.87,9.37,1.87,9.37,20.53,16.999,14.457,,0,OVERSHOOT,True,TARGET,0.4,,0
14,Fixed PID,Fixed PID,20.0,4,Fixed PID_SP20_trial04.txt,20.23,0.23,1.14,0.23,1.14,0.23,1.14,31.12,26.04,23.24,29.655,1,AKURAT,True,TARGET,0.4,,1
15,Fixed PID,Fixed PID,20.0,5,Fixed PID_SP20_trial05.txt,29.05,9.05,45.26,9.05,45.26,9.05,45.26,27.5,26.039,23.239,,2,OVERSHOOT,True,TARGET,0.4,,0
16,Fixed PID,Fixed PID,20.0,6,Fixed PID_SP20_trial06.txt,19.47,-0.53,-2.67,0.53,2.67,0.0,0.0,33.7,25.265,24.53,27.331,1,AKURAT,True,TARGET,0.4,,1
17,Fixed PID,Fixed PID,20.0,7,Fixed PID_SP20_trial07.txt,20.85,0.85,4.25,0.85,4.25,0.85,4.25,16.4,13.129,10.587,14.936,0,AKURAT,True,TARGET,0.4,,1
18,Fixed PID,Fixed PID,20.0,8,Fixed PID_SP20_trial08.txt,19.58,-0.42,-2.08,0.42,2.08,0.0,0.0,33.96,32.494,31.76,32.494,4,AKURAT,True,TARGET,0.4,,1
19,Fixed PID,Fixed PID,20.0,9,Fixed PID_SP20_trial09.txt,20.14,0.14,0.68,0.14,0.68,0.14,0.68,22.85,17.259,16.525,21.132,0,AKURAT,True,TARGET,0.4,,1
20,Fixed PID,Fixed PID,20.0,10,Fixed PID_SP20_trial10.txt,20.92,0.92,4.58,0.92,4.58,0.92,4.58,21.3,19.841,19.107,19.841,2,AKURAT,True,TARGET,0.4,,1
21,Fixed PID,Fixed PID,25.0,1,Fixed PID_SP25_trial01.txt,24.86,-0.14,-0.56,0.14,0.56,0.0,0.0,41.45,37.661,35.119,37.661,4,AKURAT,True,TARGET,0.4,,1
22,Fixed PID,Fixed PID,25.0,2,Fixed PID_SP25_trial02.txt,24.75,-0.25,-1.01,0.25,1.01,0.0,0.0,24.92,21.135,18.593,23.201,1,AKURAT,True,TARGET,0.4,,1
23,Fixed PID,Fixed PID,25.0,3,Fixed PID_SP25_trial03.txt,24.77,-0.23,-0.93,0.23,0.93,0.0,0.0,64.17,50.831,48.289,57.803,7,AKURAT,True,TARGET,0.4,,1
24,Fixed PID,Fixed PID,25.0,4,Fixed PID_SP25_trial04.txt,24.38,-0.62,-2.47,0.62,2.47,0.0,0.0,52.04,21.137,18.595,45.93,0,AKURAT,True,TARGET,0.4,,1
25,Fixed PID,Fixed PID,25.0,5,Fixed PID_SP25_trial05.txt,26.19,1.19,4.78,1.19,4.78,1.19,4.78,31.12,29.657,27.115,29.657,4,AKURAT,True,TARGET,0.4,,1
