Metric,Setpoint_g,n_total_available,n_per_scenario,Shapiro_W,p_value,skewness_residual,Keputusan,Catatan
AbsError_pct,15,40,10/10/10/10,0.8666,< 0.001,1.0261,Terdapat bukti penyimpangan dari distribusi normal,
AbsError_pct,20,40,10/10/10/10,0.7526,< 0.001,2.4668,Terdapat bukti penyimpangan dari distribusi normal,
AbsError_pct,25,40,10/10/10/10,0.8246,< 0.001,1.5172,Terdapat bukti penyimpangan dari distribusi normal,
AbsError_pct,30,40,10/10/10/10,0.7728,< 0.001,2.2707,Terdapat bukti penyimpangan dari distribusi normal,
MaxOvershoot_pct,15,40,10/10/10/10,0.8729,< 0.001,1.0422,Terdapat bukti penyimpangan dari distribusi normal,
MaxOvershoot_pct,20,40,10/10/10/10,0.7609,< 0.001,2.3646,Terdapat bukti penyimpangan dari distribusi normal,
MaxOvershoot_pct,25,40,10/10/10/10,0.8311,< 0.001,1.4766,Terdapat bukti penyimpangan dari distribusi normal,
MaxOvershoot_pct,30,40,10/10/10/10,0.7675,< 0.001,2.2499,Terdapat bukti penyimpangan dari distribusi normal,
Duration_s,15,40,10/10/10/10,0.8858,< 0.001,0.7059,Terdapat bukti penyimpangan dari distribusi normal,
Duration_s,20,40,10/10/10/10,0.899,0.0018,0.7806,Terdapat bukti penyimpangan dari distribusi normal,
Duration_s,25,40,10/10/10/10,0.9711,0.3885,0.3681,Tidak terdapat bukti signifikan untuk menolak asumsi normalitas,
Duration_s,30,40,10/10/10/10,0.8994,0.0018,1.4468,Terdapat bukti penyimpangan dari distribusi normal,
RiseTime_10_90_s,15,40,10/10/10/10,0.9055,0.0028,0.5866,Terdapat bukti penyimpangan dari distribusi normal,
RiseTime_10_90_s,20,40,10/10/10/10,0.9013,0.0021,0.8497,Terdapat bukti penyimpangan dari distribusi normal,
RiseTime_10_90_s,25,40,10/10/10/10,0.9774,0.5932,-0.1419,Tidak terdapat bukti signifikan untuk menolak asumsi normalitas,
RiseTime_10_90_s,30,40,10/10/10/10,0.9707,0.3784,0.1314,Tidak terdapat bukti signifikan untuk menolak asumsi normalitas,
