Setpoint_g,Scenario,n_available,n_total,Median,Q1,Q3,IQR
15,Manual Cepat,3,10,2.8,2.8,3.7035,0.9035000000000002
15,Manual Presisi,6,10,33.795500000000004,33.60225,50.64925,17.047000000000004
15,Fixed PID,7,10,23.198,15.450499999999998,25.3915,9.941000000000003
15,GS PID,9,10,11.062,10.546,14.679,4.133000000000001
20,Manual Cepat,4,10,8.224499999999999,4.99575,12.8735,7.87775
20,Manual Presisi,6,10,40.8925,38.24525,41.799,3.553750000000001
20,Fixed PID,8,10,24.490499999999997,20.809250000000002,30.36475,9.555499999999999
20,GS PID,8,10,15.972000000000001,12.29075,17.58325,5.2925
25,Manual Cepat,3,10,9.516,8.612,10.1615,1.5495
25,Manual Presisi,6,10,60.5325,49.55075,75.97,26.419249999999998
25,Fixed PID,9,10,41.797,29.657,47.992,18.334999999999997
25,GS PID,9,10,19.073,14.94,29.403,14.463
30,Manual Cepat,4,10,21.6595,18.10725,23.59775,5.490500000000001
30,Manual Presisi,7,10,51.363,45.938,55.49,9.552
30,Fixed PID,10,10,24.7485,19.9705,31.00875,11.038249999999998
30,GS PID,10,10,22.937,20.2235,24.86975,4.646249999999998
