Scenario,Metric,n,mean,median,sd,min,max
Manual Cepat,AbsError_pct,40,12.44,7.5,13.6,0.32,57.4
Manual Cepat,MaxOvershoot_pct,40,12.45,7.5,13.6,0.0,57.4
Manual Cepat,Duration_s,40,11.42,10.42,7.02,1.25,29.93
Manual Cepat,BridgingCount,40,0.3,0.0,0.65,0.0,2.0
Manual Presisi,AbsError_pct,40,7.03,2.98,9.54,0.01,40.06
Manual Presisi,MaxOvershoot_pct,40,6.53,1.92,9.83,0.0,40.06
Manual Presisi,Duration_s,40,48.02,44.26,19.34,8.48,83.66
Manual Presisi,BridgingCount,40,5.48,4.0,3.69,1.0,16.0
Fixed PID,AbsError_pct,40,4.04,1.59,6.26,0.11,28.51
Fixed PID,MaxOvershoot_pct,40,3.59,0.77,6.49,0.0,28.51
Fixed PID,Duration_s,40,35.63,29.83,16.01,15.11,74.5
Fixed PID,BridgingCount,40,2.33,1.0,2.66,0.0,10.0
GS PID,AbsError_pct,40,2.71,1.81,3.05,0.08,15.77
GS PID,MaxOvershoot_pct,40,2.1,0.59,3.37,0.0,15.77
GS PID,Duration_s,40,21.31,20.66,10.42,8.13,54.89
GS PID,BridgingCount,40,0.48,0.0,0.55,0.0,2.0
