Scenario,Setpoint_g,RiseTime_role,RiseTime_n,RiseTime_mean,RiseTime_median,RiseTime_SD,RiseTime_Q1,RiseTime_Q3,RiseTime_IQR,Within_role,Within_total_n,Within_n,Within_prop,Settling_role,Settling_subset_n,Settling_subset_prop,Settling_median,Settling_Q1,Settling_Q3,Settling_IQR,Bridging_n,Bridging_total,Bridging_median,Bridging_Q1,Bridging_Q3,Bridging_min,Bridging_max,Bridging_prop_nonzero,Bridging_IQR,Bridging_role,RiseTime_Test,RiseTime_p_raw,RiseTime_p_holm,RiseTime_Significant_holm,RiseTime_source_file,Within_Test,Within_p_MonteCarlo,Within_p_holm,Within_Significant_holm,Within_source_file
Manual Cepat,15,Tambahan,10,5.2936,3.6155,4.882756147914823,2.32425,5.9385,3.61425,Tambahan,10,3,0.3,Kondisional,3,0.3,2.8,2.8,3.7035,0.9035000000000002,10,3,0.0,0.0,0.0,0,2,0.2,0.0,Pendukung,Kruskal-Wallis,0.0017697310065565,0.00177,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.057299,0.114599,False,hasil_proporsi_within_tolerance_omnibus.csv
Manual Cepat,20,Tambahan,10,8.290600000000001,8.6515,4.450935661932968,4.1975,10.524750000000001,6.327250000000001,Tambahan,10,4,0.4,Kondisional,4,0.4,8.224499999999999,4.99575,12.8735,7.87775,10,2,0.0,0.0,0.0,0,1,0.2,0.0,Pendukung,Kruskal-Wallis,4.359412173384683e-05,0.000131,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.234578,0.234578,False,hasil_proporsi_within_tolerance_omnibus.csv
Manual Cepat,25,Tambahan,10,8.575099999999999,8.524,2.7732260976863907,6.7155000000000005,9.9435,3.2279999999999998,Tambahan,10,3,0.3,Kondisional,3,0.3,9.516,8.612,10.1615,1.5495,10,0,0.0,0.0,0.0,0,0,0.0,0.0,Pendukung,Welch ANOVA,9.1447015359455e-07,4e-06,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.01008,0.03024,True,hasil_proporsi_within_tolerance_omnibus.csv
Manual Cepat,30,Tambahan,10,16.8446,17.9565,7.216007625026767,11.562,21.11875,9.55675,Tambahan,10,4,0.4,Kondisional,4,0.4,21.6595,18.10725,23.59775,5.490500000000001,10,7,0.0,0.0,1.75,0,2,0.4,1.75,Pendukung,Welch ANOVA,0.0002914011615619,0.000583,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.00213,0.00852,True,hasil_proporsi_within_tolerance_omnibus.csv
Manual Presisi,15,Tambahan,10,23.4268,25.311500000000002,14.64846534093058,15.30225,28.928,13.62575,Tambahan,10,6,0.6,Kondisional,6,0.6,33.795500000000004,33.60225,50.64925,17.047000000000004,10,29,3.0,1.5,3.75,1,6,1.0,2.25,Pendukung,Kruskal-Wallis,0.0017697310065565,0.00177,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.057299,0.114599,False,hasil_proporsi_within_tolerance_omnibus.csv
Manual Presisi,20,Tambahan,10,33.7136,32.025,16.486814874653962,22.91875,39.605000000000004,16.686250000000005,Tambahan,10,6,0.6,Kondisional,6,0.6,40.8925,38.24525,41.799,3.553750000000001,10,44,3.0,3.0,4.0,1,14,1.0,1.0,Pendukung,Kruskal-Wallis,4.359412173384683e-05,0.000131,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.234578,0.234578,False,hasil_proporsi_within_tolerance_omnibus.csv
Manual Presisi,25,Tambahan,10,36.188599999999994,37.453,12.151870566569851,31.3205,40.488,9.1675,Tambahan,10,6,0.6,Kondisional,6,0.6,60.5325,49.55075,75.97,26.419249999999998,10,61,6.0,4.25,7.5,3,10,1.0,3.25,Pendukung,Welch ANOVA,9.1447015359455e-07,4e-06,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.01008,0.03024,True,hasil_proporsi_within_tolerance_omnibus.csv
Manual Presisi,30,Tambahan,10,48.042500000000004,45.201499999999996,16.767647858964068,36.4195,61.40975,24.990250000000003,Tambahan,10,7,0.7,Kondisional,7,0.7,51.363,45.938,55.49,9.552,10,85,7.5,5.25,11.0,4,16,1.0,5.75,Pendukung,Welch ANOVA,0.0002914011615619,0.000583,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.00213,0.00852,True,hasil_proporsi_within_tolerance_omnibus.csv
Fixed PID,15,Tambahan,10,13.8903,11.3595,4.94828706725873,11.102,18.5885,7.4864999999999995,Tambahan,10,7,0.7,Kondisional,7,0.7,23.198,15.450499999999998,25.3915,9.941000000000003,10,10,1.0,0.25,1.0,0,3,0.7,0.75,Pendukung,Kruskal-Wallis,0.0017697310065565,0.00177,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.057299,0.114599,False,hasil_proporsi_within_tolerance_omnibus.csv
Fixed PID,20,Tambahan,10,22.9797,21.173000000000002,11.179756229204841,16.52525,24.2075,7.68225,Tambahan,10,8,0.8,Kondisional,8,0.8,24.490499999999997,20.809250000000002,30.36475,9.555499999999999,10,15,1.0,0.0,2.0,0,5,0.6,2.0,Pendukung,Kruskal-Wallis,4.359412173384683e-05,0.000131,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.234578,0.234578,False,hasil_proporsi_within_tolerance_omnibus.csv
Fixed PID,25,Tambahan,10,34.500600000000006,34.088,12.888599149808503,22.468,45.642,23.174000000000003,Tambahan,10,9,0.9,Kondisional,9,0.9,41.797,29.657,47.992,18.334999999999997,10,44,4.0,1.75,6.75,0,10,0.8,5.0,Pendukung,Welch ANOVA,9.1447015359455e-07,4e-06,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.01008,0.03024,True,hasil_proporsi_within_tolerance_omnibus.csv
Fixed PID,30,Tambahan,10,20.5013,18.849,5.605994649579244,16.59075,24.531,7.940249999999999,Tambahan,10,10,1.0,Kondisional,10,1.0,24.7485,19.9705,31.00875,11.038249999999998,10,13,1.0,1.0,1.0,0,4,0.9,0.0,Pendukung,Welch ANOVA,0.0002914011615619,0.000583,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.00213,0.00852,True,hasil_proporsi_within_tolerance_omnibus.csv
GS PID,15,Tambahan,10,11.542100000000001,10.069,6.955590133123141,8.65025,12.5885,3.93825,Tambahan,10,9,0.9,Kondisional,9,0.9,11.062,10.546,14.679,4.133000000000001,10,3,0.0,0.0,0.75,0,1,0.3,0.75,Pendukung,Kruskal-Wallis,0.0017697310065565,0.00177,True,hasil_omnibus_tahap3.csv,Pearson chi-square dengan p Monte Carlo,0.057299,0.114599,False,hasil_proporsi_within_tolerance_omnibus.csv
